seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.086764
42,checkpoint_final.pth,cuda,liver_0627,0.115917
42,checkpoint_final.pth,cuda,liver_0628,0.086318
42,checkpoint_final.pth,cuda,liver_0629,0.086704
42,checkpoint_final.pth,cuda,liver_0630,0.085929
42,checkpoint_final.pth,cuda,liver_0631,0.086132
42,checkpoint_final.pth,cuda,liver_0632,0.086157
42,checkpoint_final.pth,cuda,liver_0633,0.086162
42,checkpoint_final.pth,cuda,liver_0634,0.085797
42,checkpoint_final.pth,cuda,liver_0635,0.086100
42,checkpoint_final.pth,cuda,liver_0636,0.086022
42,checkpoint_final.pth,cuda,liver_0637,0.086163
42,checkpoint_final.pth,cuda,liver_0638,0.085707
42,checkpoint_final.pth,cuda,liver_0639,0.086485
42,checkpoint_final.pth,cuda,liver_0640,0.131914
42,checkpoint_final.pth,cuda,liver_0641,0.110328
42,checkpoint_final.pth,cuda,liver_0642,0.110340
42,checkpoint_final.pth,cuda,liver_0643,0.084472
42,checkpoint_final.pth,cuda,liver_0644,0.084147
42,checkpoint_final.pth,cuda,liver_0645,0.083507
42,checkpoint_final.pth,cuda,liver_0646,0.083884
42,checkpoint_final.pth,cuda,liver_0647,0.083983
42,checkpoint_final.pth,cuda,liver_0648,0.084079
42,checkpoint_final.pth,cuda,liver_0649,0.084556
42,checkpoint_final.pth,cuda,liver_0650,0.084497
42,checkpoint_final.pth,cuda,liver_0651,0.083868
42,checkpoint_final.pth,cuda,liver_0652,0.084011
42,checkpoint_final.pth,cuda,liver_0653,0.084447
42,checkpoint_final.pth,cuda,liver_0654,0.083762
42,checkpoint_final.pth,cuda,liver_0655,0.084228
42,checkpoint_final.pth,cuda,liver_0656,0.083544
42,checkpoint_final.pth,cuda,liver_0657,0.110141
42,checkpoint_final.pth,cuda,liver_0658,0.083938
42,checkpoint_final.pth,cuda,liver_0659,0.083795
42,checkpoint_final.pth,cuda,liver_0660,0.110356
42,checkpoint_final.pth,cuda,liver_0661,0.111358
42,checkpoint_final.pth,cuda,liver_0662,0.084134
42,checkpoint_final.pth,cuda,liver_0663,0.083947
42,checkpoint_final.pth,cuda,liver_0664,0.110510
42,checkpoint_final.pth,cuda,liver_0665,0.110256
42,checkpoint_final.pth,cuda,liver_0666,0.110496
42,checkpoint_final.pth,cuda,liver_0667,0.110712
42,checkpoint_final.pth,cuda,liver_0668,0.111039
42,checkpoint_final.pth,cuda,liver_0669,0.110717
42,checkpoint_final.pth,cuda,liver_0670,0.111113
42,checkpoint_final.pth,cuda,liver_0671,0.084646
42,checkpoint_final.pth,cuda,liver_0672,0.111357
42,checkpoint_final.pth,cuda,liver_0673,0.111176
42,checkpoint_final.pth,cuda,liver_0674,0.110731
42,checkpoint_final.pth,cuda,liver_0675,0.110267
42,checkpoint_final.pth,cuda,liver_0676,0.083559
42,checkpoint_final.pth,cuda,liver_0677,0.084195
42,checkpoint_final.pth,cuda,liver_0678,0.110427
42,checkpoint_final.pth,cuda,liver_0679,0.119615
42,checkpoint_final.pth,cuda,liver_0680,0.085785
42,checkpoint_final.pth,cuda,liver_0681,0.115250
42,checkpoint_final.pth,cuda,liver_0682,0.085892
42,checkpoint_final.pth,cuda,liver_0683,0.086476
42,checkpoint_final.pth,cuda,liver_0684,0.086037
42,checkpoint_final.pth,cuda,liver_0685,0.114607
42,checkpoint_final.pth,cuda,liver_0686,0.114749
42,checkpoint_final.pth,cuda,liver_0687,0.114718
42,checkpoint_final.pth,cuda,liver_0688,0.114921
42,checkpoint_final.pth,cuda,liver_0689,0.132357
42,checkpoint_final.pth,cuda,liver_0690,0.084349
42,checkpoint_final.pth,cuda,liver_0691,0.084269
42,checkpoint_final.pth,cuda,liver_0692,0.083837
42,checkpoint_final.pth,cuda,liver_0693,0.110690
42,checkpoint_final.pth,cuda,liver_0694,0.110212
42,checkpoint_final.pth,cuda,liver_0695,0.111364
42,checkpoint_final.pth,cuda,liver_0696,0.110902
42,checkpoint_final.pth,cuda,liver_0697,0.110518
42,checkpoint_final.pth,cuda,liver_0698,0.110892
42,checkpoint_final.pth,cuda,liver_0699,0.110922
42,checkpoint_final.pth,cuda,liver_0700,0.110679
42,checkpoint_final.pth,cuda,liver_0701,0.110512
42,checkpoint_final.pth,cuda,liver_0702,0.083801
42,checkpoint_final.pth,cuda,liver_0703,0.111266
42,checkpoint_final.pth,cuda,liver_0704,0.110076
42,checkpoint_final.pth,cuda,liver_0705,0.110982
42,checkpoint_final.pth,cuda,liver_0706,0.110598
42,checkpoint_final.pth,cuda,liver_0707,0.111021
42,checkpoint_final.pth,cuda,liver_0708,0.110500
