timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:22:20.459, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 62.05 W, 300.00 W, 53, 2505 MHz
2026/09/19 22:22:21.463, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 57.43 W, 300.00 W, 53, 2505 MHz
2026/09/19 22:22:22.463, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 50.52 W, 300.00 W, 52, 570 MHz
2026/09/19 22:22:23.464, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 38.22 W, 300.00 W, 51, 390 MHz
2026/09/19 22:22:24.464, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 21.52 W, 300.00 W, 51, 210 MHz
2026/09/19 22:22:25.465, 0, 0 %, 0 %, 987 MiB, 49140 MiB, 46.07 W, 300.00 W, 52, 2505 MHz
2026/09/19 22:22:26.465, 0, 6 %, 1 %, 1183 MiB, 49140 MiB, 55.10 W, 300.00 W, 52, 2505 MHz
2026/09/19 22:22:27.466, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 54.70 W, 300.00 W, 52, 2505 MHz
2026/09/19 22:22:28.470, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 53.65 W, 300.00 W, 52, 2505 MHz
2026/09/19 22:22:29.470, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 53.58 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:30.473, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 53.62 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:31.473, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 54.05 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:32.474, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.82 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:33.474, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.80 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:34.475, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.25 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:35.475, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.25 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:36.476, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.46 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:37.476, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.64 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:38.476, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.15 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:39.477, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.06 W, 300.00 W, 51, 2505 MHz
2026/09/19 22:22:40.477, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.04 W, 300.00 W, 50, 2505 MHz
2026/09/19 22:22:41.478, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.07 W, 300.00 W, 50, 2505 MHz
2026/09/19 22:22:42.478, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 53.06 W, 300.00 W, 50, 2505 MHz
2026/09/19 22:22:43.479, 0, 0 %, 0 %, 875 MiB, 49140 MiB, 52.95 W, 300.00 W, 50, 2505 MHz
2026/09/19 22:22:44.479, 0, 0 %, 0 %, 2317 MiB, 49140 MiB, 78.61 W, 300.00 W, 53, 2715 MHz
2026/09/19 22:22:45.480, 0, 65 %, 71 %, 2609 MiB, 49140 MiB, 172.60 W, 300.00 W, 55, 2700 MHz
2026/09/19 22:22:46.481, 0, 24 %, 10 %, 2719 MiB, 49140 MiB, 148.65 W, 300.00 W, 54, 2700 MHz
2026/09/19 22:22:47.481, 0, 30 %, 30 %, 3329 MiB, 49140 MiB, 126.40 W, 300.00 W, 52, 2700 MHz
2026/09/19 22:22:48.482, 0, 96 %, 100 %, 5763 MiB, 49140 MiB, 158.08 W, 300.00 W, 55, 2700 MHz
2026/09/19 22:22:49.482, 0, 58 %, 69 %, 5763 MiB, 49140 MiB, 134.62 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:22:50.483, 0, 64 %, 78 %, 5763 MiB, 49140 MiB, 84.03 W, 300.00 W, 52, 2715 MHz
2026/09/19 22:22:51.484, 0, 0 %, 0 %, 5763 MiB, 49140 MiB, 67.38 W, 300.00 W, 52, 2715 MHz
