timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/20 04:34:53.694, 0, 14 %, 1 %, 0 MiB, 49140 MiB, 66.48 W, 300.00 W, 54, 2505 MHz
2026/09/20 04:34:54.698, 0, 14 %, 1 %, 0 MiB, 49140 MiB, 59.68 W, 300.00 W, 54, 2505 MHz
2026/09/20 04:34:55.699, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 56.03 W, 300.00 W, 53, 2505 MHz
2026/09/20 04:34:56.699, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 50.99 W, 300.00 W, 53, 600 MHz
2026/09/20 04:34:57.700, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 30.82 W, 300.00 W, 52, 270 MHz
2026/09/20 04:34:58.701, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 47.28 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:34:59.701, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 54.18 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:00.702, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 53.56 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:01.708, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 53.54 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:02.709, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 53.66 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:03.709, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 54.27 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:04.710, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 54.34 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:05.710, 0, 0 %, 0 %, 1835 MiB, 49140 MiB, 54.17 W, 300.00 W, 52, 2505 MHz
2026/09/20 04:35:06.711, 0, 50 %, 40 %, 2745 MiB, 49140 MiB, 100.02 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:07.711, 0, 45 %, 14 %, 5587 MiB, 49140 MiB, 127.25 W, 300.00 W, 53, 2700 MHz
2026/09/20 04:35:08.712, 0, 0 %, 0 %, 9601 MiB, 49140 MiB, 73.59 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:09.713, 0, 57 %, 56 %, 6009 MiB, 49140 MiB, 82.79 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:10.713, 0, 0 %, 0 %, 6325 MiB, 49140 MiB, 91.68 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:11.714, 0, 0 %, 0 %, 5273 MiB, 49140 MiB, 95.19 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:12.714, 0, 0 %, 0 %, 5171 MiB, 49140 MiB, 74.60 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:13.715, 0, 0 %, 0 %, 5487 MiB, 49140 MiB, 76.11 W, 300.00 W, 53, 2715 MHz
2026/09/20 04:35:14.715, 0, 0 %, 0 %, 4961 MiB, 49140 MiB, 82.60 W, 300.00 W, 55, 2655 MHz
