timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:18:17.237, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 31.00 W, 300.00 W, 40, 630 MHz
2026/09/19 22:18:18.238, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 9.56 W, 300.00 W, 39, 375 MHz
2026/09/19 22:18:19.239, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 8.74 W, 300.00 W, 39, 210 MHz
2026/09/19 22:18:20.239, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 7.80 W, 300.00 W, 39, 210 MHz
2026/09/19 22:18:21.241, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 7.73 W, 300.00 W, 39, 210 MHz
2026/09/19 22:18:22.242, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 7.75 W, 300.00 W, 39, 210 MHz
2026/09/19 22:18:23.243, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 7.61 W, 300.00 W, 38, 210 MHz
2026/09/19 22:18:24.244, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 7.57 W, 300.00 W, 38, 210 MHz
2026/09/19 22:18:25.245, 0, 0 %, 0 %, 701 MiB, 49140 MiB, 7.55 W, 300.00 W, 38, 210 MHz
2026/09/19 22:18:26.245, 0, 0 %, 0 %, 783 MiB, 49140 MiB, 26.32 W, 300.00 W, 39, 2505 MHz
2026/09/19 22:18:27.246, 0, 6 %, 0 %, 1009 MiB, 49140 MiB, 56.05 W, 300.00 W, 40, 2505 MHz
2026/09/19 22:18:28.246, 0, 0 %, 0 %, 717 MiB, 49140 MiB, 72.39 W, 300.00 W, 43, 2505 MHz
2026/09/19 22:18:29.247, 0, 48 %, 9 %, 717 MiB, 49140 MiB, 112.27 W, 300.00 W, 43, 2730 MHz
2026/09/19 22:18:30.247, 0, 47 %, 11 %, 717 MiB, 49140 MiB, 128.46 W, 300.00 W, 42, 2715 MHz
2026/09/19 22:18:31.248, 0, 48 %, 11 %, 717 MiB, 49140 MiB, 112.22 W, 300.00 W, 42, 2715 MHz
2026/09/19 22:18:32.248, 0, 50 %, 13 %, 1087 MiB, 49140 MiB, 139.19 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:33.249, 0, 51 %, 25 %, 1087 MiB, 49140 MiB, 155.41 W, 300.00 W, 44, 2715 MHz
2026/09/19 22:18:34.249, 0, 52 %, 26 %, 717 MiB, 49140 MiB, 146.65 W, 300.00 W, 44, 2715 MHz
2026/09/19 22:18:35.250, 0, 45 %, 10 %, 717 MiB, 49140 MiB, 132.82 W, 300.00 W, 44, 2715 MHz
2026/09/19 22:18:36.251, 0, 53 %, 16 %, 717 MiB, 49140 MiB, 143.52 W, 300.00 W, 45, 2715 MHz
2026/09/19 22:18:37.251, 0, 50 %, 14 %, 717 MiB, 49140 MiB, 144.10 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:38.252, 0, 48 %, 11 %, 1087 MiB, 49140 MiB, 155.89 W, 300.00 W, 48, 2715 MHz
