seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.084598
42,checkpoint_final.pth,cuda,liver_0627,0.166152
42,checkpoint_final.pth,cuda,liver_0628,0.084239
42,checkpoint_final.pth,cuda,liver_0629,0.084485
42,checkpoint_final.pth,cuda,liver_0630,0.084399
42,checkpoint_final.pth,cuda,liver_0631,0.084658
42,checkpoint_final.pth,cuda,liver_0632,0.084426
42,checkpoint_final.pth,cuda,liver_0633,0.084812
42,checkpoint_final.pth,cuda,liver_0634,0.084642
42,checkpoint_final.pth,cuda,liver_0635,0.084623
42,checkpoint_final.pth,cuda,liver_0636,0.084118
42,checkpoint_final.pth,cuda,liver_0637,0.084840
42,checkpoint_final.pth,cuda,liver_0638,0.084802
42,checkpoint_final.pth,cuda,liver_0639,0.084389
42,checkpoint_final.pth,cuda,liver_0640,0.165017
42,checkpoint_final.pth,cuda,liver_0641,0.111535
42,checkpoint_final.pth,cuda,liver_0642,0.164179
42,checkpoint_final.pth,cuda,liver_0643,0.084353
42,checkpoint_final.pth,cuda,liver_0644,0.084574
42,checkpoint_final.pth,cuda,liver_0645,0.084627
42,checkpoint_final.pth,cuda,liver_0646,0.084667
42,checkpoint_final.pth,cuda,liver_0647,0.084136
42,checkpoint_final.pth,cuda,liver_0648,0.085105
42,checkpoint_final.pth,cuda,liver_0649,0.084289
42,checkpoint_final.pth,cuda,liver_0650,0.084364
42,checkpoint_final.pth,cuda,liver_0651,0.084216
42,checkpoint_final.pth,cuda,liver_0652,0.084405
42,checkpoint_final.pth,cuda,liver_0653,0.084817
42,checkpoint_final.pth,cuda,liver_0654,0.084484
42,checkpoint_final.pth,cuda,liver_0655,0.085220
42,checkpoint_final.pth,cuda,liver_0656,0.083967
42,checkpoint_final.pth,cuda,liver_0657,0.164816
42,checkpoint_final.pth,cuda,liver_0658,0.084382
42,checkpoint_final.pth,cuda,liver_0659,0.084488
42,checkpoint_final.pth,cuda,liver_0660,0.164832
42,checkpoint_final.pth,cuda,liver_0661,0.166914
42,checkpoint_final.pth,cuda,liver_0662,0.084315
42,checkpoint_final.pth,cuda,liver_0663,0.084660
42,checkpoint_final.pth,cuda,liver_0664,0.165347
42,checkpoint_final.pth,cuda,liver_0665,0.164461
42,checkpoint_final.pth,cuda,liver_0666,0.164072
42,checkpoint_final.pth,cuda,liver_0667,0.165671
42,checkpoint_final.pth,cuda,liver_0668,0.164514
42,checkpoint_final.pth,cuda,liver_0669,0.164992
42,checkpoint_final.pth,cuda,liver_0670,0.164521
