seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.086263
42,checkpoint_final.pth,cuda,liver_0627,0.113614
42,checkpoint_final.pth,cuda,liver_0628,0.087182
42,checkpoint_final.pth,cuda,liver_0629,0.085685
42,checkpoint_final.pth,cuda,liver_0630,0.086384
42,checkpoint_final.pth,cuda,liver_0631,0.086893
42,checkpoint_final.pth,cuda,liver_0632,0.086562
42,checkpoint_final.pth,cuda,liver_0633,0.085949
42,checkpoint_final.pth,cuda,liver_0634,0.086433
42,checkpoint_final.pth,cuda,liver_0635,0.086380
42,checkpoint_final.pth,cuda,liver_0636,0.086533
42,checkpoint_final.pth,cuda,liver_0637,0.086248
42,checkpoint_final.pth,cuda,liver_0638,0.086154
42,checkpoint_final.pth,cuda,liver_0639,0.087202
42,checkpoint_final.pth,cuda,liver_0640,0.112412
42,checkpoint_final.pth,cuda,liver_0641,0.087195
42,checkpoint_final.pth,cuda,liver_0642,0.086401
42,checkpoint_final.pth,cuda,liver_0643,0.085588
42,checkpoint_final.pth,cuda,liver_0644,0.086336
42,checkpoint_final.pth,cuda,liver_0645,0.086129
42,checkpoint_final.pth,cuda,liver_0646,0.086716
42,checkpoint_final.pth,cuda,liver_0647,0.085763
42,checkpoint_final.pth,cuda,liver_0648,0.086133
42,checkpoint_final.pth,cuda,liver_0649,0.086430
42,checkpoint_final.pth,cuda,liver_0650,0.086205
42,checkpoint_final.pth,cuda,liver_0651,0.086380
42,checkpoint_final.pth,cuda,liver_0652,0.086502
42,checkpoint_final.pth,cuda,liver_0653,0.086257
42,checkpoint_final.pth,cuda,liver_0654,0.086039
42,checkpoint_final.pth,cuda,liver_0655,0.086266
42,checkpoint_final.pth,cuda,liver_0656,0.085831
42,checkpoint_final.pth,cuda,liver_0657,0.113948
42,checkpoint_final.pth,cuda,liver_0658,0.086633
42,checkpoint_final.pth,cuda,liver_0659,0.086127
42,checkpoint_final.pth,cuda,liver_0660,0.086699
42,checkpoint_final.pth,cuda,liver_0661,0.113917
42,checkpoint_final.pth,cuda,liver_0662,0.086143
42,checkpoint_final.pth,cuda,liver_0663,0.085988
42,checkpoint_final.pth,cuda,liver_0664,0.113447
42,checkpoint_final.pth,cuda,liver_0665,0.087147
42,checkpoint_final.pth,cuda,liver_0666,0.113131
42,checkpoint_final.pth,cuda,liver_0667,0.113401
42,checkpoint_final.pth,cuda,liver_0668,0.114659
42,checkpoint_final.pth,cuda,liver_0669,0.113494
42,checkpoint_final.pth,cuda,liver_0670,0.086741
42,checkpoint_final.pth,cuda,liver_0671,0.085856
42,checkpoint_final.pth,cuda,liver_0672,0.112785
42,checkpoint_final.pth,cuda,liver_0673,0.112394
42,checkpoint_final.pth,cuda,liver_0674,0.112942
42,checkpoint_final.pth,cuda,liver_0675,0.086807
42,checkpoint_final.pth,cuda,liver_0676,0.086014
42,checkpoint_final.pth,cuda,liver_0677,0.086346
42,checkpoint_final.pth,cuda,liver_0678,0.113188
42,checkpoint_final.pth,cuda,liver_0679,0.087944
42,checkpoint_final.pth,cuda,liver_0680,0.086425
42,checkpoint_final.pth,cuda,liver_0681,0.113160
42,checkpoint_final.pth,cuda,liver_0682,0.086327
42,checkpoint_final.pth,cuda,liver_0683,0.086621
42,checkpoint_final.pth,cuda,liver_0684,0.087493
42,checkpoint_final.pth,cuda,liver_0685,0.113247
42,checkpoint_final.pth,cuda,liver_0686,0.113316
42,checkpoint_final.pth,cuda,liver_0687,0.086754
42,checkpoint_final.pth,cuda,liver_0688,0.112739
42,checkpoint_final.pth,cuda,liver_0689,0.114230
42,checkpoint_final.pth,cuda,liver_0690,0.086635
42,checkpoint_final.pth,cuda,liver_0691,0.086696
42,checkpoint_final.pth,cuda,liver_0692,0.086297
42,checkpoint_final.pth,cuda,liver_0693,0.113493
42,checkpoint_final.pth,cuda,liver_0694,0.086979
42,checkpoint_final.pth,cuda,liver_0695,0.086760
42,checkpoint_final.pth,cuda,liver_0696,0.087144
42,checkpoint_final.pth,cuda,liver_0697,0.086397
42,checkpoint_final.pth,cuda,liver_0698,0.086796
42,checkpoint_final.pth,cuda,liver_0699,0.112454
42,checkpoint_final.pth,cuda,liver_0700,0.114327
42,checkpoint_final.pth,cuda,liver_0701,0.112924
42,checkpoint_final.pth,cuda,liver_0702,0.086869
42,checkpoint_final.pth,cuda,liver_0703,0.112657
42,checkpoint_final.pth,cuda,liver_0704,0.114205
42,checkpoint_final.pth,cuda,liver_0705,0.113819
42,checkpoint_final.pth,cuda,liver_0706,0.113684
42,checkpoint_final.pth,cuda,liver_0707,0.087192
42,checkpoint_final.pth,cuda,liver_0708,0.113878
42,checkpoint_final.pth,cuda,liver_0709,0.086367
42,checkpoint_final.pth,cuda,liver_0710,0.086860
42,checkpoint_final.pth,cuda,liver_0711,0.114070
42,checkpoint_final.pth,cuda,liver_0712,0.113050
42,checkpoint_final.pth,cuda,liver_0713,0.113736
42,checkpoint_final.pth,cuda,liver_0714,0.114084
42,checkpoint_final.pth,cuda,liver_0715,0.113843
42,checkpoint_final.pth,cuda,liver_0716,0.086768
42,checkpoint_final.pth,cuda,liver_0717,0.087228
42,checkpoint_final.pth,cuda,liver_0718,0.086470
42,checkpoint_final.pth,cuda,liver_0719,0.086934
42,checkpoint_final.pth,cuda,liver_0720,0.087385
42,checkpoint_final.pth,cuda,liver_0721,0.086544
42,checkpoint_final.pth,cuda,liver_0722,0.086027
42,checkpoint_final.pth,cuda,liver_0723,0.088054
42,checkpoint_final.pth,cuda,liver_0724,0.086113
42,checkpoint_final.pth,cuda,liver_0725,0.086852
42,checkpoint_final.pth,cuda,liver_0726,0.086785
42,checkpoint_final.pth,cuda,liver_0727,0.085982
42,checkpoint_final.pth,cuda,liver_0728,0.087133
42,checkpoint_final.pth,cuda,liver_0729,0.086404
42,checkpoint_final.pth,cuda,liver_0730,0.085785
42,checkpoint_final.pth,cuda,liver_0731,0.086076
42,checkpoint_final.pth,cuda,liver_0732,0.086642
42,checkpoint_final.pth,cuda,liver_0733,0.086745
42,checkpoint_final.pth,cuda,liver_0734,0.086501
42,checkpoint_final.pth,cuda,liver_0735,0.086659
43,checkpoint_final.pth,cuda,liver_0626,0.087647
43,checkpoint_final.pth,cuda,liver_0627,0.114693
43,checkpoint_final.pth,cuda,liver_0628,0.087509
43,checkpoint_final.pth,cuda,liver_0629,0.087904
43,checkpoint_final.pth,cuda,liver_0630,0.087009
43,checkpoint_final.pth,cuda,liver_0631,0.086888
43,checkpoint_final.pth,cuda,liver_0632,0.086885
43,checkpoint_final.pth,cuda,liver_0633,0.087437
43,checkpoint_final.pth,cuda,liver_0634,0.088121
43,checkpoint_final.pth,cuda,liver_0635,0.086848
43,checkpoint_final.pth,cuda,liver_0636,0.087925
43,checkpoint_final.pth,cuda,liver_0637,0.087668
43,checkpoint_final.pth,cuda,liver_0638,0.087191
43,checkpoint_final.pth,cuda,liver_0639,0.087748
43,checkpoint_final.pth,cuda,liver_0640,0.113770
43,checkpoint_final.pth,cuda,liver_0641,0.087842
43,checkpoint_final.pth,cuda,liver_0642,0.087072
43,checkpoint_final.pth,cuda,liver_0643,0.088300
43,checkpoint_final.pth,cuda,liver_0644,0.087513
43,checkpoint_final.pth,cuda,liver_0645,0.087084
43,checkpoint_final.pth,cuda,liver_0646,0.087442
43,checkpoint_final.pth,cuda,liver_0647,0.087390
43,checkpoint_final.pth,cuda,liver_0648,0.087317
43,checkpoint_final.pth,cuda,liver_0649,0.087585
43,checkpoint_final.pth,cuda,liver_0650,0.087102
43,checkpoint_final.pth,cuda,liver_0651,0.087494
43,checkpoint_final.pth,cuda,liver_0652,0.087070
43,checkpoint_final.pth,cuda,liver_0653,0.087373
43,checkpoint_final.pth,cuda,liver_0654,0.087650
43,checkpoint_final.pth,cuda,liver_0655,0.087622
43,checkpoint_final.pth,cuda,liver_0656,0.086516
43,checkpoint_final.pth,cuda,liver_0657,0.114949
43,checkpoint_final.pth,cuda,liver_0658,0.087738
43,checkpoint_final.pth,cuda,liver_0659,0.087691
43,checkpoint_final.pth,cuda,liver_0660,0.087428
43,checkpoint_final.pth,cuda,liver_0661,0.113946
43,checkpoint_final.pth,cuda,liver_0662,0.087886
43,checkpoint_final.pth,cuda,liver_0663,0.087566
43,checkpoint_final.pth,cuda,liver_0664,0.114324
43,checkpoint_final.pth,cuda,liver_0665,0.088216
43,checkpoint_final.pth,cuda,liver_0666,0.114410
43,checkpoint_final.pth,cuda,liver_0667,0.115746
43,checkpoint_final.pth,cuda,liver_0668,0.114267
43,checkpoint_final.pth,cuda,liver_0669,0.115593
43,checkpoint_final.pth,cuda,liver_0670,0.087867
43,checkpoint_final.pth,cuda,liver_0671,0.087773
43,checkpoint_final.pth,cuda,liver_0672,0.114697
43,checkpoint_final.pth,cuda,liver_0673,0.115246
43,checkpoint_final.pth,cuda,liver_0674,0.115282
43,checkpoint_final.pth,cuda,liver_0675,0.088591
43,checkpoint_final.pth,cuda,liver_0676,0.087890
43,checkpoint_final.pth,cuda,liver_0677,0.087573
43,checkpoint_final.pth,cuda,liver_0678,0.114364
43,checkpoint_final.pth,cuda,liver_0679,0.088153
43,checkpoint_final.pth,cuda,liver_0680,0.087686
43,checkpoint_final.pth,cuda,liver_0681,0.114549
43,checkpoint_final.pth,cuda,liver_0682,0.087861
43,checkpoint_final.pth,cuda,liver_0683,0.087149
43,checkpoint_final.pth,cuda,liver_0684,0.087756
43,checkpoint_final.pth,cuda,liver_0685,0.114354
43,checkpoint_final.pth,cuda,liver_0686,0.114805
43,checkpoint_final.pth,cuda,liver_0687,0.088517
43,checkpoint_final.pth,cuda,liver_0688,0.113952
43,checkpoint_final.pth,cuda,liver_0689,0.116174
43,checkpoint_final.pth,cuda,liver_0690,0.088310
43,checkpoint_final.pth,cuda,liver_0691,0.088200
43,checkpoint_final.pth,cuda,liver_0692,0.086826
43,checkpoint_final.pth,cuda,liver_0693,0.114807
43,checkpoint_final.pth,cuda,liver_0694,0.087531
43,checkpoint_final.pth,cuda,liver_0695,0.087822
43,checkpoint_final.pth,cuda,liver_0696,0.087852
43,checkpoint_final.pth,cuda,liver_0697,0.088086
43,checkpoint_final.pth,cuda,liver_0698,0.087627
43,checkpoint_final.pth,cuda,liver_0699,0.114777
43,checkpoint_final.pth,cuda,liver_0700,0.114859
43,checkpoint_final.pth,cuda,liver_0701,0.115179
43,checkpoint_final.pth,cuda,liver_0702,0.086968
43,checkpoint_final.pth,cuda,liver_0703,0.114642
43,checkpoint_final.pth,cuda,liver_0704,0.114536
43,checkpoint_final.pth,cuda,liver_0705,0.115444
43,checkpoint_final.pth,cuda,liver_0706,0.114734
43,checkpoint_final.pth,cuda,liver_0707,0.088262
43,checkpoint_final.pth,cuda,liver_0708,0.114323
43,checkpoint_final.pth,cuda,liver_0709,0.088573
43,checkpoint_final.pth,cuda,liver_0710,0.087369
43,checkpoint_final.pth,cuda,liver_0711,0.114342
43,checkpoint_final.pth,cuda,liver_0712,0.114402
43,checkpoint_final.pth,cuda,liver_0713,0.114969
43,checkpoint_final.pth,cuda,liver_0714,0.115056
43,checkpoint_final.pth,cuda,liver_0715,0.114629
43,checkpoint_final.pth,cuda,liver_0716,0.087916
43,checkpoint_final.pth,cuda,liver_0717,0.088186
43,checkpoint_final.pth,cuda,liver_0718,0.086570
43,checkpoint_final.pth,cuda,liver_0719,0.087921
43,checkpoint_final.pth,cuda,liver_0720,0.087047
43,checkpoint_final.pth,cuda,liver_0721,0.086980
43,checkpoint_final.pth,cuda,liver_0722,0.087034
43,checkpoint_final.pth,cuda,liver_0723,0.087301
43,checkpoint_final.pth,cuda,liver_0724,0.087606
43,checkpoint_final.pth,cuda,liver_0725,0.087391
43,checkpoint_final.pth,cuda,liver_0726,0.087339
43,checkpoint_final.pth,cuda,liver_0727,0.087518
43,checkpoint_final.pth,cuda,liver_0728,0.087060
43,checkpoint_final.pth,cuda,liver_0729,0.087255
43,checkpoint_final.pth,cuda,liver_0730,0.087461
43,checkpoint_final.pth,cuda,liver_0731,0.087670
43,checkpoint_final.pth,cuda,liver_0732,0.087094
43,checkpoint_final.pth,cuda,liver_0733,0.087771
43,checkpoint_final.pth,cuda,liver_0734,0.087079
43,checkpoint_final.pth,cuda,liver_0735,0.087312
44,checkpoint_final.pth,cuda,liver_0626,0.087865
44,checkpoint_final.pth,cuda,liver_0627,0.115022
44,checkpoint_final.pth,cuda,liver_0628,0.087493
44,checkpoint_final.pth,cuda,liver_0629,0.087829
44,checkpoint_final.pth,cuda,liver_0630,0.087709
44,checkpoint_final.pth,cuda,liver_0631,0.088152
44,checkpoint_final.pth,cuda,liver_0632,0.087851
44,checkpoint_final.pth,cuda,liver_0633,0.087515
44,checkpoint_final.pth,cuda,liver_0634,0.088441
44,checkpoint_final.pth,cuda,liver_0635,0.087087
44,checkpoint_final.pth,cuda,liver_0636,0.088182
44,checkpoint_final.pth,cuda,liver_0637,0.088419
44,checkpoint_final.pth,cuda,liver_0638,0.086846
44,checkpoint_final.pth,cuda,liver_0639,0.088309
44,checkpoint_final.pth,cuda,liver_0640,0.114660
44,checkpoint_final.pth,cuda,liver_0641,0.088515
44,checkpoint_final.pth,cuda,liver_0642,0.087762
44,checkpoint_final.pth,cuda,liver_0643,0.087332
44,checkpoint_final.pth,cuda,liver_0644,0.087942
44,checkpoint_final.pth,cuda,liver_0645,0.087505
44,checkpoint_final.pth,cuda,liver_0646,0.088400
44,checkpoint_final.pth,cuda,liver_0647,0.087471
44,checkpoint_final.pth,cuda,liver_0648,0.087839
44,checkpoint_final.pth,cuda,liver_0649,0.087491
44,checkpoint_final.pth,cuda,liver_0650,0.087404
44,checkpoint_final.pth,cuda,liver_0651,0.087891
44,checkpoint_final.pth,cuda,liver_0652,0.087628
44,checkpoint_final.pth,cuda,liver_0653,0.087866
44,checkpoint_final.pth,cuda,liver_0654,0.087527
44,checkpoint_final.pth,cuda,liver_0655,0.087615
44,checkpoint_final.pth,cuda,liver_0656,0.087536
44,checkpoint_final.pth,cuda,liver_0657,0.114428
44,checkpoint_final.pth,cuda,liver_0658,0.087910
44,checkpoint_final.pth,cuda,liver_0659,0.088090
44,checkpoint_final.pth,cuda,liver_0660,0.088302
44,checkpoint_final.pth,cuda,liver_0661,0.114445
44,checkpoint_final.pth,cuda,liver_0662,0.088103
44,checkpoint_final.pth,cuda,liver_0663,0.087342
44,checkpoint_final.pth,cuda,liver_0664,0.115477
44,checkpoint_final.pth,cuda,liver_0665,0.087757
44,checkpoint_final.pth,cuda,liver_0666,0.115063
44,checkpoint_final.pth,cuda,liver_0667,0.114904
44,checkpoint_final.pth,cuda,liver_0668,0.115357
44,checkpoint_final.pth,cuda,liver_0669,0.114971
44,checkpoint_final.pth,cuda,liver_0670,0.088860
44,checkpoint_final.pth,cuda,liver_0671,0.087335
44,checkpoint_final.pth,cuda,liver_0672,0.114477
44,checkpoint_final.pth,cuda,liver_0673,0.115044
44,checkpoint_final.pth,cuda,liver_0674,0.115005
44,checkpoint_final.pth,cuda,liver_0675,0.088510
44,checkpoint_final.pth,cuda,liver_0676,0.087910
44,checkpoint_final.pth,cuda,liver_0677,0.087662
44,checkpoint_final.pth,cuda,liver_0678,0.114353
44,checkpoint_final.pth,cuda,liver_0679,0.088189
44,checkpoint_final.pth,cuda,liver_0680,0.087696
44,checkpoint_final.pth,cuda,liver_0681,0.114748
44,checkpoint_final.pth,cuda,liver_0682,0.088351
44,checkpoint_final.pth,cuda,liver_0683,0.088126
44,checkpoint_final.pth,cuda,liver_0684,0.087525
44,checkpoint_final.pth,cuda,liver_0685,0.114046
44,checkpoint_final.pth,cuda,liver_0686,0.115156
44,checkpoint_final.pth,cuda,liver_0687,0.087833
44,checkpoint_final.pth,cuda,liver_0688,0.114885
44,checkpoint_final.pth,cuda,liver_0689,0.115219
44,checkpoint_final.pth,cuda,liver_0690,0.088008
44,checkpoint_final.pth,cuda,liver_0691,0.087762
44,checkpoint_final.pth,cuda,liver_0692,0.087112
44,checkpoint_final.pth,cuda,liver_0693,0.114361
44,checkpoint_final.pth,cuda,liver_0694,0.087791
44,checkpoint_final.pth,cuda,liver_0695,0.087868
44,checkpoint_final.pth,cuda,liver_0696,0.087350
44,checkpoint_final.pth,cuda,liver_0697,0.087606
44,checkpoint_final.pth,cuda,liver_0698,0.087161
44,checkpoint_final.pth,cuda,liver_0699,0.114515
44,checkpoint_final.pth,cuda,liver_0700,0.114616
44,checkpoint_final.pth,cuda,liver_0701,0.115433
44,checkpoint_final.pth,cuda,liver_0702,0.087508
44,checkpoint_final.pth,cuda,liver_0703,0.114972
44,checkpoint_final.pth,cuda,liver_0704,0.114719
44,checkpoint_final.pth,cuda,liver_0705,0.114762
44,checkpoint_final.pth,cuda,liver_0706,0.114662
44,checkpoint_final.pth,cuda,liver_0707,0.087837
44,checkpoint_final.pth,cuda,liver_0708,0.113993
44,checkpoint_final.pth,cuda,liver_0709,0.087800
44,checkpoint_final.pth,cuda,liver_0710,0.087124
44,checkpoint_final.pth,cuda,liver_0711,0.114567
44,checkpoint_final.pth,cuda,liver_0712,0.115075
44,checkpoint_final.pth,cuda,liver_0713,0.135383
44,checkpoint_final.pth,cuda,liver_0714,0.114078
44,checkpoint_final.pth,cuda,liver_0715,0.114760
44,checkpoint_final.pth,cuda,liver_0716,0.087020
44,checkpoint_final.pth,cuda,liver_0717,0.087323
