seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.087262
42,checkpoint_final.pth,cuda,liver_0627,0.113911
42,checkpoint_final.pth,cuda,liver_0628,0.087731
42,checkpoint_final.pth,cuda,liver_0629,0.087064
42,checkpoint_final.pth,cuda,liver_0630,0.086658
42,checkpoint_final.pth,cuda,liver_0631,0.086764
42,checkpoint_final.pth,cuda,liver_0632,0.086958
42,checkpoint_final.pth,cuda,liver_0633,0.087739
42,checkpoint_final.pth,cuda,liver_0634,0.086906
42,checkpoint_final.pth,cuda,liver_0635,0.086756
42,checkpoint_final.pth,cuda,liver_0636,0.093924
42,checkpoint_final.pth,cuda,liver_0637,0.091855
42,checkpoint_final.pth,cuda,liver_0638,0.086788
42,checkpoint_final.pth,cuda,liver_0639,0.086792
42,checkpoint_final.pth,cuda,liver_0640,0.112947
42,checkpoint_final.pth,cuda,liver_0641,0.092758
42,checkpoint_final.pth,cuda,liver_0642,0.085904
42,checkpoint_final.pth,cuda,liver_0643,0.086043
42,checkpoint_final.pth,cuda,liver_0644,0.085588
42,checkpoint_final.pth,cuda,liver_0645,0.086016
42,checkpoint_final.pth,cuda,liver_0646,0.086218
42,checkpoint_final.pth,cuda,liver_0647,0.085925
42,checkpoint_final.pth,cuda,liver_0648,0.085760
42,checkpoint_final.pth,cuda,liver_0649,0.085717
42,checkpoint_final.pth,cuda,liver_0650,0.086074
42,checkpoint_final.pth,cuda,liver_0651,0.086262
42,checkpoint_final.pth,cuda,liver_0652,0.085934
42,checkpoint_final.pth,cuda,liver_0653,0.086576
42,checkpoint_final.pth,cuda,liver_0654,0.086162
42,checkpoint_final.pth,cuda,liver_0655,0.085868
42,checkpoint_final.pth,cuda,liver_0656,0.085704
42,checkpoint_final.pth,cuda,liver_0657,0.112014
42,checkpoint_final.pth,cuda,liver_0658,0.085874
42,checkpoint_final.pth,cuda,liver_0659,0.085786
42,checkpoint_final.pth,cuda,liver_0660,0.085711
42,checkpoint_final.pth,cuda,liver_0661,0.112809
42,checkpoint_final.pth,cuda,liver_0662,0.086055
42,checkpoint_final.pth,cuda,liver_0663,0.086198
42,checkpoint_final.pth,cuda,liver_0664,0.112026
42,checkpoint_final.pth,cuda,liver_0665,0.086169
42,checkpoint_final.pth,cuda,liver_0666,0.112188
42,checkpoint_final.pth,cuda,liver_0667,0.111699
42,checkpoint_final.pth,cuda,liver_0668,0.111940
42,checkpoint_final.pth,cuda,liver_0669,0.111934
42,checkpoint_final.pth,cuda,liver_0670,0.086117
42,checkpoint_final.pth,cuda,liver_0671,0.085625
42,checkpoint_final.pth,cuda,liver_0672,0.111379
42,checkpoint_final.pth,cuda,liver_0673,0.111826
