timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 12:51:40.595, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 68.59 W, 300.00 W, 56, 2505 MHz
2026/09/23 12:51:41.599, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.29 W, 300.00 W, 56, 2505 MHz
2026/09/23 12:51:42.600, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 61.36 W, 300.00 W, 56, 645 MHz
2026/09/23 12:51:43.600, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 49.18 W, 300.00 W, 55, 405 MHz
2026/09/23 12:51:44.601, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 31.89 W, 300.00 W, 54, 225 MHz
2026/09/23 12:51:45.601, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 54.99 W, 300.00 W, 55, 2505 MHz
2026/09/23 12:51:46.602, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.35 W, 300.00 W, 55, 2505 MHz
2026/09/23 12:51:47.603, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.49 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:48.603, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.49 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:49.608, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.33 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:50.608, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 61.29 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:51.609, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 61.49 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:52.609, 0, 0 %, 0 %, 1721 MiB, 49140 MiB, 61.07 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:51:53.610, 0, 43 %, 23 %, 2875 MiB, 49140 MiB, 111.63 W, 300.00 W, 55, 2745 MHz
2026/09/23 12:51:54.610, 0, 38 %, 21 %, 5167 MiB, 49140 MiB, 138.46 W, 300.00 W, 55, 2745 MHz
2026/09/23 12:51:55.611, 0, 0 %, 0 %, 5553 MiB, 49140 MiB, 82.03 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:51:56.611, 0, 86 %, 19 %, 7283 MiB, 49140 MiB, 93.14 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:51:57.612, 0, 66 %, 58 %, 5845 MiB, 49140 MiB, 101.47 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:51:58.612, 0, 0 %, 0 %, 4883 MiB, 49140 MiB, 105.55 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:51:59.613, 0, 0 %, 0 %, 4789 MiB, 49140 MiB, 85.06 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:52:00.613, 0, 0 %, 0 %, 4937 MiB, 49140 MiB, 86.14 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:52:01.614, 0, 0 %, 0 %, 4647 MiB, 49140 MiB, 91.59 W, 300.00 W, 57, 2745 MHz
2026/09/23 12:52:02.614, 0, 0 %, 0 %, 4647 MiB, 49140 MiB, 87.30 W, 300.00 W, 54, 2745 MHz
2026/09/23 12:52:03.614, 0, 0 %, 0 %, 4719 MiB, 49140 MiB, 78.35 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:04.615, 0, 0 %, 0 %, 4477 MiB, 49140 MiB, 69.65 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:05.615, 0, 0 %, 0 %, 4451 MiB, 49140 MiB, 73.49 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:06.616, 0, 0 %, 0 %, 4477 MiB, 49140 MiB, 67.26 W, 300.00 W, 54, 2505 MHz
2026/09/23 12:52:07.616, 0, 0 %, 0 %, 4353 MiB, 49140 MiB, 69.65 W, 300.00 W, 57, 2505 MHz
2026/09/23 12:52:08.617, 0, 0 %, 0 %, 4383 MiB, 49140 MiB, 69.60 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:09.617, 0, 0 %, 0 %, 4387 MiB, 49140 MiB, 67.14 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:10.618, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 65.60 W, 300.00 W, 53, 2505 MHz
2026/09/23 12:52:11.618, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 60.75 W, 300.00 W, 52, 2505 MHz
2026/09/23 12:52:12.619, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 61.65 W, 300.00 W, 52, 2505 MHz
2026/09/23 12:52:13.619, 0, 0 %, 0 %, 4297 MiB, 49140 MiB, 61.27 W, 300.00 W, 52, 2505 MHz
