timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 05:35:44.793, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 72.95 W, 300.00 W, 55, 2505 MHz
2026/09/23 05:35:45.797, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 64.79 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:35:46.798, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 57.95 W, 300.00 W, 54, 600 MHz
2026/09/23 05:35:47.798, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 46.70 W, 300.00 W, 53, 375 MHz
2026/09/23 05:35:48.799, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 31.98 W, 300.00 W, 53, 225 MHz
2026/09/23 05:35:49.799, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 53.70 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:50.800, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.88 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:51.800, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.21 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:52.801, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.22 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:53.801, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.41 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:54.801, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 60.61 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:55.802, 0, 0 %, 0 %, 1279 MiB, 49140 MiB, 69.37 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:35:56.802, 0, 3 %, 0 %, 2443 MiB, 49140 MiB, 82.77 W, 300.00 W, 55, 2505 MHz
2026/09/23 05:35:57.803, 0, 0 %, 0 %, 2449 MiB, 49140 MiB, 90.23 W, 300.00 W, 53, 2745 MHz
2026/09/23 05:35:58.803, 0, 0 %, 0 %, 2595 MiB, 49140 MiB, 82.27 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:35:59.804, 0, 0 %, 0 %, 2705 MiB, 49140 MiB, 73.48 W, 300.00 W, 53, 2745 MHz
2026/09/23 05:36:00.804, 0, 0 %, 0 %, 2345 MiB, 49140 MiB, 88.71 W, 300.00 W, 53, 2745 MHz
2026/09/23 05:36:01.805, 0, 0 %, 0 %, 2309 MiB, 49140 MiB, 76.33 W, 300.00 W, 52, 2505 MHz
2026/09/23 05:36:02.805, 0, 0 %, 0 %, 2367 MiB, 49140 MiB, 67.79 W, 300.00 W, 52, 2655 MHz
2026/09/23 05:36:03.806, 0, 0 %, 0 %, 2257 MiB, 49140 MiB, 74.65 W, 300.00 W, 52, 2655 MHz
2026/09/23 05:36:04.806, 0, 28 %, 3 %, 2285 MiB, 49140 MiB, 67.99 W, 300.00 W, 52, 2505 MHz
2026/09/23 05:36:05.807, 0, 47 %, 6 %, 2193 MiB, 49140 MiB, 63.84 W, 300.00 W, 52, 2505 MHz
2026/09/23 05:36:06.807, 0, 22 %, 4 %, 2213 MiB, 49140 MiB, 62.77 W, 300.00 W, 52, 2505 MHz
2026/09/23 05:36:07.808, 0, 0 %, 0 %, 2223 MiB, 49140 MiB, 60.18 W, 300.00 W, 52, 2505 MHz
2026/09/23 05:36:08.808, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 62.09 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:09.809, 0, 0 %, 0 %, 2199 MiB, 49140 MiB, 61.70 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:10.809, 0, 0 %, 0 %, 2217 MiB, 49140 MiB, 60.15 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:11.810, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 61.67 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:12.810, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 61.33 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:13.811, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 59.97 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:14.811, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 60.53 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:15.812, 0, 0 %, 0 %, 2155 MiB, 49140 MiB, 60.10 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:16.812, 0, 0 %, 0 %, 2155 MiB, 49140 MiB, 59.88 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:17.813, 0, 0 %, 0 %, 2183 MiB, 49140 MiB, 61.04 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:18.813, 0, 0 %, 0 %, 2561 MiB, 49140 MiB, 67.87 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:19.814, 0, 0 %, 0 %, 3163 MiB, 49140 MiB, 61.39 W, 300.00 W, 51, 2505 MHz
2026/09/23 05:36:20.814, 0, 88 %, 74 %, 3163 MiB, 49140 MiB, 193.23 W, 300.00 W, 57, 2625 MHz
2026/09/23 05:36:21.815, 0, 85 %, 72 %, 3163 MiB, 49140 MiB, 271.97 W, 300.00 W, 59, 2535 MHz
2026/09/23 05:36:22.817, 0, 86 %, 72 %, 3163 MiB, 49140 MiB, 274.06 W, 300.00 W, 60, 2460 MHz
2026/09/23 05:36:23.818, 0, 87 %, 74 %, 3163 MiB, 49140 MiB, 272.73 W, 300.00 W, 60, 2460 MHz
2026/09/23 05:36:24.818, 0, 85 %, 70 %, 3163 MiB, 49140 MiB, 270.21 W, 300.00 W, 58, 2685 MHz
