timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 19:30:40.530, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.37 W, 300.00 W, 56, 2505 MHz
2026/09/23 19:30:41.535, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.37 W, 300.00 W, 56, 2505 MHz
2026/09/23 19:30:42.535, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 59.89 W, 300.00 W, 55, 585 MHz
2026/09/23 19:30:43.535, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 48.96 W, 300.00 W, 55, 375 MHz
2026/09/23 19:30:44.536, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 32.21 W, 300.00 W, 54, 210 MHz
2026/09/23 19:30:45.536, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 55.31 W, 300.00 W, 55, 2505 MHz
2026/09/23 19:30:46.537, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.72 W, 300.00 W, 55, 2505 MHz
2026/09/23 19:30:47.537, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.67 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:48.539, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.55 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:49.540, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 61.80 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:50.540, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 62.00 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:51.541, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 61.87 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:52.541, 0, 0 %, 0 %, 2327 MiB, 49140 MiB, 65.72 W, 300.00 W, 54, 2505 MHz
2026/09/23 19:30:53.542, 0, 18 %, 1 %, 7821 MiB, 49140 MiB, 123.46 W, 300.00 W, 55, 2760 MHz
2026/09/23 19:30:54.543, 0, 97 %, 67 %, 5587 MiB, 49140 MiB, 141.87 W, 300.00 W, 55, 2715 MHz
2026/09/23 19:30:55.543, 0, 0 %, 0 %, 6009 MiB, 49140 MiB, 79.89 W, 300.00 W, 54, 2715 MHz
2026/09/23 19:30:56.544, 0, 0 %, 0 %, 6325 MiB, 49140 MiB, 94.10 W, 300.00 W, 54, 2760 MHz
2026/09/23 19:30:57.544, 0, 0 %, 0 %, 5273 MiB, 49140 MiB, 104.71 W, 300.00 W, 54, 2760 MHz
2026/09/23 19:30:58.545, 0, 0 %, 0 %, 5171 MiB, 49140 MiB, 109.48 W, 300.00 W, 54, 2760 MHz
