timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 06:07:06.378, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 76.17 W, 300.00 W, 56, 2505 MHz
2026/09/23 06:07:07.383, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 69.54 W, 300.00 W, 56, 2505 MHz
2026/09/23 06:07:08.383, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 49.28 W, 300.00 W, 55, 510 MHz
2026/09/23 06:07:09.384, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 42.23 W, 300.00 W, 54, 330 MHz
2026/09/23 06:07:10.407, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 32.93 W, 300.00 W, 54, 210 MHz
2026/09/23 06:07:11.407, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 56.74 W, 300.00 W, 55, 2505 MHz
2026/09/23 06:07:12.408, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.27 W, 300.00 W, 55, 2505 MHz
2026/09/23 06:07:13.408, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.19 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:14.413, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.03 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:15.414, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.14 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:16.414, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.27 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:17.414, 0, 0 %, 0 %, 1147 MiB, 49140 MiB, 61.83 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:18.415, 0, 67 %, 19 %, 1279 MiB, 49140 MiB, 75.30 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:19.416, 0, 3 %, 0 %, 2443 MiB, 49140 MiB, 72.85 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:07:20.417, 0, 0 %, 0 %, 2449 MiB, 49140 MiB, 79.97 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:21.417, 0, 0 %, 0 %, 2595 MiB, 49140 MiB, 67.15 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:22.418, 0, 0 %, 0 %, 2705 MiB, 49140 MiB, 74.81 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:07:23.419, 0, 0 %, 0 %, 2345 MiB, 49140 MiB, 89.63 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:07:24.419, 0, 0 %, 0 %, 2309 MiB, 49140 MiB, 76.62 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:25.420, 0, 0 %, 0 %, 2367 MiB, 49140 MiB, 68.61 W, 300.00 W, 53, 2745 MHz
2026/09/23 06:07:26.421, 0, 0 %, 0 %, 2257 MiB, 49140 MiB, 83.81 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:07:27.421, 0, 27 %, 3 %, 2285 MiB, 49140 MiB, 75.19 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:28.422, 0, 48 %, 6 %, 2193 MiB, 49140 MiB, 64.61 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:29.423, 0, 22 %, 4 %, 2213 MiB, 49140 MiB, 63.89 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:07:30.423, 0, 0 %, 0 %, 2223 MiB, 49140 MiB, 61.22 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:31.424, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 63.13 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:32.425, 0, 0 %, 0 %, 2199 MiB, 49140 MiB, 62.70 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:33.425, 0, 0 %, 0 %, 2199 MiB, 49140 MiB, 61.00 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:34.426, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 62.60 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:35.427, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 62.20 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:36.427, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 61.09 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:37.428, 0, 0 %, 0 %, 2175 MiB, 49140 MiB, 61.12 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:38.429, 0, 0 %, 0 %, 2155 MiB, 49140 MiB, 60.40 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:07:39.429, 0, 0 %, 0 %, 2155 MiB, 49140 MiB, 60.33 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:07:40.430, 0, 2 %, 0 %, 2255 MiB, 49140 MiB, 62.01 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:07:41.431, 0, 10 %, 4 %, 2561 MiB, 49140 MiB, 67.60 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:07:42.431, 0, 0 %, 0 %, 3163 MiB, 49140 MiB, 62.00 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:07:43.433, 0, 84 %, 70 %, 3163 MiB, 49140 MiB, 216.43 W, 300.00 W, 58, 2535 MHz
2026/09/23 06:07:44.433, 0, 82 %, 68 %, 3163 MiB, 49140 MiB, 263.17 W, 300.00 W, 60, 2370 MHz
2026/09/23 06:07:45.434, 0, 85 %, 72 %, 3163 MiB, 49140 MiB, 264.99 W, 300.00 W, 59, 2460 MHz
2026/09/23 06:07:46.435, 0, 91 %, 76 %, 3163 MiB, 49140 MiB, 273.96 W, 300.00 W, 60, 2505 MHz
2026/09/23 06:07:47.436, 0, 81 %, 67 %, 3163 MiB, 49140 MiB, 274.39 W, 300.00 W, 61, 2595 MHz
2026/09/23 06:07:48.437, 0, 88 %, 73 %, 3163 MiB, 49140 MiB, 274.18 W, 300.00 W, 62, 2550 MHz
2026/09/23 06:07:49.438, 0, 85 %, 72 %, 3163 MiB, 49140 MiB, 272.67 W, 300.00 W, 62, 2460 MHz
2026/09/23 06:07:50.439, 0, 85 %, 73 %, 3163 MiB, 49140 MiB, 272.31 W, 300.00 W, 61, 2550 MHz
2026/09/23 06:07:51.439, 0, 87 %, 72 %, 3163 MiB, 49140 MiB, 272.94 W, 300.00 W, 62, 2580 MHz
2026/09/23 06:07:52.440, 0, 82 %, 68 %, 3163 MiB, 49140 MiB, 273.24 W, 300.00 W, 61, 2580 MHz
2026/09/23 06:07:53.440, 0, 84 %, 71 %, 3163 MiB, 49140 MiB, 221.10 W, 300.00 W, 57, 2745 MHz
2026/09/23 06:07:54.441, 0, 0 %, 0 %, 1467 MiB, 49140 MiB, 81.74 W, 300.00 W, 57, 2745 MHz
2026/09/23 06:07:55.441, 0, 20 %, 2 %, 1569 MiB, 49140 MiB, 98.39 W, 300.00 W, 56, 2505 MHz
2026/09/23 06:07:56.442, 0, 62 %, 37 %, 1569 MiB, 49140 MiB, 157.24 W, 300.00 W, 57, 2745 MHz
2026/09/23 06:07:57.442, 0, 0 %, 0 %, 3197 MiB, 49140 MiB, 78.86 W, 300.00 W, 56, 2745 MHz
2026/09/23 06:07:58.443, 0, 89 %, 73 %, 3197 MiB, 49140 MiB, 206.92 W, 300.00 W, 62, 2490 MHz
2026/09/23 06:07:59.444, 0, 82 %, 68 %, 3197 MiB, 49140 MiB, 263.67 W, 300.00 W, 63, 2565 MHz
2026/09/23 06:08:00.444, 0, 89 %, 74 %, 3197 MiB, 49140 MiB, 265.74 W, 300.00 W, 63, 2415 MHz
2026/09/23 06:08:01.445, 0, 87 %, 72 %, 3197 MiB, 49140 MiB, 267.31 W, 300.00 W, 64, 2460 MHz
2026/09/23 06:08:02.445, 0, 87 %, 73 %, 3197 MiB, 49140 MiB, 272.40 W, 300.00 W, 63, 2535 MHz
2026/09/23 06:08:03.446, 0, 87 %, 73 %, 3197 MiB, 49140 MiB, 274.11 W, 300.00 W, 64, 2535 MHz
2026/09/23 06:08:04.447, 0, 84 %, 69 %, 3197 MiB, 49140 MiB, 274.27 W, 300.00 W, 64, 2520 MHz
2026/09/23 06:08:05.448, 0, 84 %, 71 %, 3197 MiB, 49140 MiB, 273.37 W, 300.00 W, 65, 2535 MHz
2026/09/23 06:08:06.449, 0, 85 %, 73 %, 3197 MiB, 49140 MiB, 273.39 W, 300.00 W, 65, 2460 MHz
2026/09/23 06:08:07.449, 0, 85 %, 71 %, 3197 MiB, 49140 MiB, 274.56 W, 300.00 W, 64, 2490 MHz
2026/09/23 06:08:08.451, 0, 91 %, 75 %, 3197 MiB, 49140 MiB, 268.43 W, 300.00 W, 65, 2745 MHz
2026/09/23 06:08:09.452, 0, 9 %, 0 %, 3197 MiB, 49140 MiB, 138.58 W, 300.00 W, 60, 2745 MHz
2026/09/23 06:08:10.452, 0, 0 %, 0 %, 3197 MiB, 49140 MiB, 96.58 W, 300.00 W, 63, 2565 MHz
2026/09/23 06:08:11.453, 0, 84 %, 72 %, 3197 MiB, 49140 MiB, 268.62 W, 300.00 W, 65, 2490 MHz
2026/09/23 06:08:12.454, 0, 86 %, 72 %, 3197 MiB, 49140 MiB, 272.52 W, 300.00 W, 66, 2460 MHz
2026/09/23 06:08:13.455, 0, 87 %, 72 %, 3197 MiB, 49140 MiB, 274.15 W, 300.00 W, 65, 2445 MHz
2026/09/23 06:08:14.455, 0, 90 %, 75 %, 3197 MiB, 49140 MiB, 277.71 W, 300.00 W, 67, 2550 MHz
2026/09/23 06:08:15.456, 0, 90 %, 76 %, 3197 MiB, 49140 MiB, 277.98 W, 300.00 W, 66, 2550 MHz
2026/09/23 06:08:16.457, 0, 86 %, 73 %, 3197 MiB, 49140 MiB, 275.65 W, 300.00 W, 67, 2550 MHz
2026/09/23 06:08:17.457, 0, 84 %, 72 %, 3197 MiB, 49140 MiB, 274.04 W, 300.00 W, 66, 2565 MHz
2026/09/23 06:08:18.458, 0, 87 %, 71 %, 3197 MiB, 49140 MiB, 278.19 W, 300.00 W, 66, 2520 MHz
2026/09/23 06:08:19.459, 0, 83 %, 70 %, 3197 MiB, 49140 MiB, 277.59 W, 300.00 W, 66, 2460 MHz
2026/09/23 06:08:20.460, 0, 87 %, 74 %, 3197 MiB, 49140 MiB, 276.76 W, 300.00 W, 68, 2550 MHz
2026/09/23 06:08:21.461, 0, 59 %, 35 %, 3197 MiB, 49140 MiB, 258.09 W, 300.00 W, 64, 2745 MHz
2026/09/23 06:08:22.461, 0, 0 %, 0 %, 3197 MiB, 49140 MiB, 95.26 W, 300.00 W, 61, 2745 MHz
2026/09/23 06:08:23.462, 0, 0 %, 0 %, 3197 MiB, 49140 MiB, 138.13 W, 300.00 W, 66, 2565 MHz
2026/09/23 06:08:24.462, 0, 88 %, 72 %, 3197 MiB, 49140 MiB, 265.55 W, 300.00 W, 67, 2445 MHz
2026/09/23 06:08:25.463, 0, 87 %, 73 %, 3197 MiB, 49140 MiB, 274.07 W, 300.00 W, 66, 2475 MHz
2026/09/23 06:08:26.465, 0, 88 %, 75 %, 3197 MiB, 49140 MiB, 277.95 W, 300.00 W, 68, 2400 MHz
2026/09/23 06:08:27.466, 0, 84 %, 71 %, 3197 MiB, 49140 MiB, 276.65 W, 300.00 W, 68, 2505 MHz
