timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 11:45:57.584, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 65.40 W, 300.00 W, 55, 2505 MHz
2026/09/23 11:45:58.589, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 63.79 W, 300.00 W, 55, 2505 MHz
2026/09/23 11:45:59.590, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 52.35 W, 300.00 W, 54, 540 MHz
2026/09/23 11:46:00.590, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 43.01 W, 300.00 W, 54, 345 MHz
2026/09/23 11:46:01.591, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 30.80 W, 300.00 W, 53, 210 MHz
2026/09/23 11:46:02.592, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 54.20 W, 300.00 W, 54, 2505 MHz
2026/09/23 11:46:03.592, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.42 W, 300.00 W, 54, 2505 MHz
2026/09/23 11:46:04.593, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.33 W, 300.00 W, 54, 2505 MHz
2026/09/23 11:46:05.595, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.17 W, 300.00 W, 54, 2505 MHz
2026/09/23 11:46:06.595, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.27 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:07.596, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.27 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:08.597, 0, 0 %, 0 %, 655 MiB, 49140 MiB, 60.13 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:09.597, 0, 0 %, 0 %, 2235 MiB, 49140 MiB, 91.17 W, 300.00 W, 58, 2760 MHz
2026/09/23 11:46:10.598, 0, 0 %, 0 %, 5161 MiB, 49140 MiB, 122.16 W, 300.00 W, 55, 2085 MHz
2026/09/23 11:46:11.599, 0, 0 %, 0 %, 5167 MiB, 49140 MiB, 117.80 W, 300.00 W, 54, 2745 MHz
2026/09/23 11:46:12.599, 0, 0 %, 0 %, 5553 MiB, 49140 MiB, 92.41 W, 300.00 W, 54, 2745 MHz
2026/09/23 11:46:13.600, 0, 0 %, 0 %, 5845 MiB, 49140 MiB, 102.55 W, 300.00 W, 56, 2745 MHz
2026/09/23 11:46:14.600, 0, 0 %, 0 %, 4883 MiB, 49140 MiB, 97.39 W, 300.00 W, 57, 1860 MHz
2026/09/23 11:46:15.601, 0, 0 %, 0 %, 4789 MiB, 49140 MiB, 106.32 W, 300.00 W, 54, 2760 MHz
2026/09/23 11:46:16.601, 0, 0 %, 0 %, 4937 MiB, 49140 MiB, 85.37 W, 300.00 W, 54, 2760 MHz
2026/09/23 11:46:17.602, 0, 0 %, 0 %, 4647 MiB, 49140 MiB, 77.06 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:18.602, 0, 0 %, 0 %, 4647 MiB, 49140 MiB, 86.23 W, 300.00 W, 53, 2760 MHz
2026/09/23 11:46:19.602, 0, 0 %, 0 %, 4809 MiB, 49140 MiB, 81.84 W, 300.00 W, 53, 2760 MHz
2026/09/23 11:46:20.603, 0, 33 %, 17 %, 4719 MiB, 49140 MiB, 74.61 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:21.603, 0, 40 %, 17 %, 4451 MiB, 49140 MiB, 70.70 W, 300.00 W, 53, 2505 MHz
2026/09/23 11:46:22.604, 0, 0 %, 0 %, 4477 MiB, 49140 MiB, 62.58 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:23.604, 0, 0 %, 0 %, 4353 MiB, 49140 MiB, 67.50 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:24.605, 0, 0 %, 0 %, 4383 MiB, 49140 MiB, 67.23 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:25.605, 0, 0 %, 0 %, 4387 MiB, 49140 MiB, 62.66 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:26.606, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 66.69 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:27.606, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 65.15 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:28.607, 0, 0 %, 0 %, 4317 MiB, 49140 MiB, 59.85 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:29.607, 0, 0 %, 0 %, 4299 MiB, 49140 MiB, 60.92 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:30.608, 0, 0 %, 0 %, 4295 MiB, 49140 MiB, 61.05 W, 300.00 W, 52, 2505 MHz
2026/09/23 11:46:31.608, 0, 4 %, 0 %, 4295 MiB, 49140 MiB, 60.30 W, 300.00 W, 51, 2505 MHz
2026/09/23 11:46:32.609, 0, 2 %, 0 %, 4323 MiB, 49140 MiB, 59.65 W, 300.00 W, 51, 2505 MHz
2026/09/23 11:46:33.609, 0, 0 %, 0 %, 4671 MiB, 49140 MiB, 72.53 W, 300.00 W, 51, 2460 MHz
2026/09/23 11:46:34.610, 0, 0 %, 0 %, 5447 MiB, 49140 MiB, 85.23 W, 300.00 W, 51, 2505 MHz
2026/09/23 11:46:35.611, 0, 0 %, 0 %, 7401 MiB, 49140 MiB, 99.64 W, 300.00 W, 54, 2295 MHz
2026/09/23 11:46:36.611, 0, 96 %, 87 %, 7401 MiB, 49140 MiB, 282.27 W, 300.00 W, 57, 2100 MHz
2026/09/23 11:46:37.612, 0, 98 %, 91 %, 7401 MiB, 49140 MiB, 283.38 W, 300.00 W, 58, 1740 MHz
2026/09/23 11:46:38.613, 0, 97 %, 89 %, 7401 MiB, 49140 MiB, 284.95 W, 300.00 W, 59, 1785 MHz
2026/09/23 11:46:39.614, 0, 98 %, 88 %, 7401 MiB, 49140 MiB, 283.53 W, 300.00 W, 60, 1935 MHz
2026/09/23 11:46:40.615, 0, 97 %, 89 %, 7401 MiB, 49140 MiB, 283.59 W, 300.00 W, 61, 2100 MHz
