timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 15:00:55.430, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 74.71 W, 300.00 W, 56, 2505 MHz
2026/09/23 15:00:56.434, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.40 W, 300.00 W, 56, 2505 MHz
2026/09/23 15:00:57.434, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 48.05 W, 300.00 W, 55, 525 MHz
2026/09/23 15:00:58.435, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 41.11 W, 300.00 W, 54, 330 MHz
2026/09/23 15:00:59.435, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 32.65 W, 300.00 W, 54, 210 MHz
2026/09/23 15:01:00.436, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 54.73 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:01.436, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.54 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:02.437, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.51 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:03.438, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.47 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:04.442, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.26 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:05.442, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 61.36 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:06.443, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 61.42 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:07.443, 0, 1 %, 0 %, 2137 MiB, 49140 MiB, 61.88 W, 300.00 W, 54, 2505 MHz
2026/09/23 15:01:08.444, 0, 16 %, 2 %, 4285 MiB, 49140 MiB, 113.88 W, 300.00 W, 59, 2745 MHz
2026/09/23 15:01:09.444, 0, 100 %, 62 %, 4897 MiB, 49140 MiB, 132.15 W, 300.00 W, 56, 2745 MHz
2026/09/23 15:01:10.445, 0, 0 %, 0 %, 5259 MiB, 49140 MiB, 81.36 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:11.445, 0, 0 %, 0 %, 5529 MiB, 49140 MiB, 92.13 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:12.446, 0, 0 %, 0 %, 4627 MiB, 49140 MiB, 101.72 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:13.446, 0, 0 %, 0 %, 4539 MiB, 49140 MiB, 104.40 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:14.447, 0, 0 %, 0 %, 4675 MiB, 49140 MiB, 85.11 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:15.447, 0, 9 %, 1 %, 4403 MiB, 49140 MiB, 90.92 W, 300.00 W, 54, 2745 MHz
2026/09/23 15:01:16.447, 0, 9 %, 2 %, 4403 MiB, 49140 MiB, 87.04 W, 300.00 W, 54, 2610 MHz
2026/09/23 15:01:17.448, 0, 7 %, 1 %, 4471 MiB, 49140 MiB, 70.95 W, 300.00 W, 53, 2610 MHz
2026/09/23 15:01:18.448, 0, 0 %, 0 %, 4245 MiB, 49140 MiB, 71.51 W, 300.00 W, 53, 2505 MHz
2026/09/23 15:01:19.449, 0, 19 %, 9 %, 4245 MiB, 49140 MiB, 70.49 W, 300.00 W, 53, 2505 MHz
2026/09/23 15:01:20.449, 0, 0 %, 0 %, 4279 MiB, 49140 MiB, 63.71 W, 300.00 W, 53, 2505 MHz
2026/09/23 15:01:21.450, 0, 0 %, 0 %, 4211 MiB, 49140 MiB, 67.24 W, 300.00 W, 53, 2505 MHz
2026/09/23 15:01:22.450, 0, 0 %, 0 %, 4211 MiB, 49140 MiB, 66.95 W, 300.00 W, 53, 2505 MHz
2026/09/23 15:01:23.451, 0, 0 %, 0 %, 4199 MiB, 49140 MiB, 62.40 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:24.451, 0, 0 %, 0 %, 4199 MiB, 49140 MiB, 66.71 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:25.452, 0, 0 %, 0 %, 4199 MiB, 49140 MiB, 65.11 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:26.452, 0, 0 %, 0 %, 4199 MiB, 49140 MiB, 61.22 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:27.453, 0, 0 %, 0 %, 4179 MiB, 49140 MiB, 60.86 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:28.453, 0, 2 %, 0 %, 4179 MiB, 49140 MiB, 60.22 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:29.454, 0, 0 %, 0 %, 4179 MiB, 49140 MiB, 59.89 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:30.454, 0, 0 %, 0 %, 4249 MiB, 49140 MiB, 63.26 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:31.455, 0, 18 %, 13 %, 4905 MiB, 49140 MiB, 82.79 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:32.455, 0, 0 %, 0 %, 6037 MiB, 49140 MiB, 65.84 W, 300.00 W, 52, 2505 MHz
2026/09/23 15:01:33.456, 0, 97 %, 89 %, 6037 MiB, 49140 MiB, 213.47 W, 300.00 W, 58, 1845 MHz
2026/09/23 15:01:34.458, 0, 98 %, 89 %, 6037 MiB, 49140 MiB, 280.86 W, 300.00 W, 59, 2025 MHz
2026/09/23 15:01:35.462, 0, 97 %, 90 %, 6037 MiB, 49140 MiB, 281.98 W, 300.00 W, 58, 2070 MHz
2026/09/23 15:01:36.462, 0, 97 %, 88 %, 6037 MiB, 49140 MiB, 281.20 W, 300.00 W, 60, 2310 MHz
2026/09/23 15:01:37.463, 0, 95 %, 86 %, 6037 MiB, 49140 MiB, 282.63 W, 300.00 W, 61, 2100 MHz
2026/09/23 15:01:38.464, 0, 97 %, 89 %, 6037 MiB, 49140 MiB, 281.59 W, 300.00 W, 63, 2145 MHz
2026/09/23 15:01:39.465, 0, 96 %, 87 %, 6037 MiB, 49140 MiB, 283.58 W, 300.00 W, 62, 2010 MHz
2026/09/23 15:01:40.466, 0, 97 %, 86 %, 6037 MiB, 49140 MiB, 281.05 W, 300.00 W, 63, 1935 MHz
2026/09/23 15:01:41.467, 0, 95 %, 86 %, 6037 MiB, 49140 MiB, 281.23 W, 300.00 W, 63, 1905 MHz
