timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 03:36:16.844, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 76.18 W, 300.00 W, 56, 2505 MHz
2026/09/23 03:36:17.848, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.55 W, 300.00 W, 56, 2505 MHz
2026/09/23 03:36:18.849, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.39 W, 300.00 W, 56, 2505 MHz
2026/09/23 03:36:19.849, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 45.40 W, 300.00 W, 54, 510 MHz
2026/09/23 03:36:20.850, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 26.86 W, 300.00 W, 54, 210 MHz
2026/09/23 03:36:21.851, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 51.30 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:36:22.851, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.96 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:36:23.852, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.81 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:36:24.853, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.67 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:36:25.853, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.70 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:36:26.854, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.68 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:27.854, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.67 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:28.855, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.17 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:29.855, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.19 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:30.855, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.12 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:31.856, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.23 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:32.856, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.67 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:33.857, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.56 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:34.857, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.39 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:35.858, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.14 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:36.859, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.12 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:37.859, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.17 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:38.860, 0, 0 %, 0 %, 1305 MiB, 49140 MiB, 64.34 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:39.861, 0, 85 %, 99 %, 1279 MiB, 49140 MiB, 174.62 W, 300.00 W, 55, 2760 MHz
2026/09/23 03:36:40.862, 0, 69 %, 84 %, 1423 MiB, 49140 MiB, 173.25 W, 300.00 W, 55, 2760 MHz
2026/09/23 03:36:41.862, 0, 21 %, 24 %, 1455 MiB, 49140 MiB, 151.31 W, 300.00 W, 54, 2760 MHz
2026/09/23 03:36:42.863, 0, 91 %, 100 %, 2233 MiB, 49140 MiB, 163.22 W, 300.00 W, 56, 2760 MHz
2026/09/23 03:36:43.863, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 128.86 W, 300.00 W, 54, 2760 MHz
2026/09/23 03:36:44.864, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 83.96 W, 300.00 W, 53, 2760 MHz
2026/09/23 03:36:45.864, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 91.99 W, 300.00 W, 53, 2760 MHz
2026/09/23 03:36:46.865, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 91.97 W, 300.00 W, 53, 2760 MHz
2026/09/23 03:36:47.865, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 75.49 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:36:48.865, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 67.15 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:49.866, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 58.90 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:50.866, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 58.70 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:51.867, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 58.51 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:52.867, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 58.53 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:53.868, 0, 0 %, 0 %, 2237 MiB, 49140 MiB, 58.72 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:36:54.869, 0, 0 %, 0 %, 2145 MiB, 49140 MiB, 58.54 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:36:55.869, 0, 17 %, 4 %, 2145 MiB, 49140 MiB, 59.33 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:36:56.870, 0, 25 %, 19 %, 2269 MiB, 49140 MiB, 90.76 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:36:57.871, 0, 0 %, 0 %, 2361 MiB, 49140 MiB, 87.24 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:36:58.871, 0, 0 %, 0 %, 2059 MiB, 49140 MiB, 86.48 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:36:59.872, 0, 0 %, 0 %, 2121 MiB, 49140 MiB, 84.58 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:37:00.873, 0, 0 %, 0 %, 2217 MiB, 49140 MiB, 92.82 W, 300.00 W, 54, 2760 MHz
2026/09/23 03:37:01.873, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 95.96 W, 300.00 W, 53, 2760 MHz
2026/09/23 03:37:02.874, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 89.09 W, 300.00 W, 52, 2505 MHz
2026/09/23 03:37:03.875, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 70.75 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:37:04.875, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 78.87 W, 300.00 W, 52, 2760 MHz
2026/09/23 03:37:05.876, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 75.71 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:06.877, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 61.44 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:07.877, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 61.02 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:08.878, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 59.77 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:09.879, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 61.19 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:10.879, 0, 0 %, 0 %, 2127 MiB, 49140 MiB, 60.93 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:11.880, 0, 0 %, 0 %, 2127 MiB, 49140 MiB, 59.06 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:12.880, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 59.46 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:13.881, 0, 0 %, 0 %, 2221 MiB, 49140 MiB, 59.33 W, 300.00 W, 50, 2505 MHz
2026/09/23 03:37:14.882, 0, 80 %, 92 %, 2125 MiB, 49140 MiB, 74.78 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:15.882, 0, 0 %, 0 %, 2125 MiB, 49140 MiB, 78.35 W, 300.00 W, 51, 2760 MHz
2026/09/23 03:37:16.883, 0, 0 %, 0 %, 2105 MiB, 49140 MiB, 85.61 W, 300.00 W, 51, 2760 MHz
2026/09/23 03:37:17.883, 0, 7 %, 0 %, 2197 MiB, 49140 MiB, 83.44 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:18.884, 0, 0 %, 0 %, 2541 MiB, 49140 MiB, 87.42 W, 300.00 W, 51, 2505 MHz
2026/09/23 03:37:19.884, 0, 0 %, 0 %, 2815 MiB, 49140 MiB, 95.78 W, 300.00 W, 54, 2760 MHz
2026/09/23 03:37:20.885, 0, 81 %, 69 %, 2815 MiB, 49140 MiB, 227.40 W, 300.00 W, 57, 2670 MHz
2026/09/23 03:37:21.886, 0, 78 %, 66 %, 2815 MiB, 49140 MiB, 259.27 W, 300.00 W, 58, 2535 MHz
2026/09/23 03:37:22.887, 0, 77 %, 67 %, 2815 MiB, 49140 MiB, 261.07 W, 300.00 W, 58, 2625 MHz
2026/09/23 03:37:23.887, 0, 75 %, 64 %, 2815 MiB, 49140 MiB, 259.02 W, 300.00 W, 58, 2700 MHz
2026/09/23 03:37:24.888, 0, 73 %, 62 %, 2815 MiB, 49140 MiB, 259.18 W, 300.00 W, 59, 2655 MHz
2026/09/23 03:37:25.889, 0, 81 %, 69 %, 2815 MiB, 49140 MiB, 258.06 W, 300.00 W, 58, 2730 MHz
2026/09/23 03:37:26.890, 0, 62 %, 53 %, 2815 MiB, 49140 MiB, 247.16 W, 300.00 W, 60, 2625 MHz
