timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 02:29:01.176, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 75.45 W, 300.00 W, 55, 2505 MHz
2026/09/23 02:29:02.181, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.18 W, 300.00 W, 55, 2505 MHz
2026/09/23 02:29:03.181, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 56.28 W, 300.00 W, 55, 2505 MHz
2026/09/23 02:29:04.182, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 45.10 W, 300.00 W, 54, 600 MHz
2026/09/23 02:29:05.182, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 29.24 W, 300.00 W, 53, 225 MHz
2026/09/23 02:29:06.183, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.85 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:07.183, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.47 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:08.184, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.30 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:09.189, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.18 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:10.189, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.17 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:11.190, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 61.24 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:12.190, 0, 0 %, 0 %, 1347 MiB, 49140 MiB, 67.96 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:13.191, 0, 3 %, 0 %, 2701 MiB, 49140 MiB, 91.28 W, 300.00 W, 54, 2610 MHz
2026/09/23 02:29:14.191, 0, 0 %, 0 %, 2709 MiB, 49140 MiB, 97.31 W, 300.00 W, 53, 2745 MHz
2026/09/23 02:29:15.191, 0, 0 %, 0 %, 2879 MiB, 49140 MiB, 84.91 W, 300.00 W, 53, 2745 MHz
2026/09/23 02:29:16.192, 0, 0 %, 0 %, 3007 MiB, 49140 MiB, 79.33 W, 300.00 W, 53, 2745 MHz
2026/09/23 02:29:17.192, 0, 0 %, 0 %, 2585 MiB, 49140 MiB, 93.48 W, 300.00 W, 56, 2745 MHz
2026/09/23 02:29:18.193, 0, 0 %, 0 %, 2543 MiB, 49140 MiB, 84.82 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:19.193, 0, 0 %, 0 %, 2609 MiB, 49140 MiB, 70.12 W, 300.00 W, 52, 2505 MHz
2026/09/23 02:29:20.194, 0, 0 %, 0 %, 2481 MiB, 49140 MiB, 82.10 W, 300.00 W, 53, 2745 MHz
2026/09/23 02:29:21.194, 0, 0 %, 0 %, 2481 MiB, 49140 MiB, 85.48 W, 300.00 W, 53, 2505 MHz
2026/09/23 02:29:22.195, 0, 0 %, 0 %, 2545 MiB, 49140 MiB, 65.73 W, 300.00 W, 52, 2505 MHz
