timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 07:47:09.752, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 75.10 W, 300.00 W, 56, 2505 MHz
2026/09/23 07:47:10.757, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.67 W, 300.00 W, 55, 2505 MHz
2026/09/23 07:47:11.757, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 65.60 W, 300.00 W, 55, 2505 MHz
2026/09/23 07:47:12.758, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 62.70 W, 300.00 W, 55, 630 MHz
2026/09/23 07:47:13.758, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 37.66 W, 300.00 W, 54, 285 MHz
2026/09/23 07:47:14.759, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 54.27 W, 300.00 W, 54, 2505 MHz
2026/09/23 07:47:15.760, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.30 W, 300.00 W, 54, 2505 MHz
2026/09/23 07:47:16.760, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.40 W, 300.00 W, 54, 2505 MHz
2026/09/23 07:47:17.761, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.29 W, 300.00 W, 54, 2505 MHz
2026/09/23 07:47:18.761, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.27 W, 300.00 W, 54, 2505 MHz
2026/09/23 07:47:19.763, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 61.24 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:20.763, 0, 0 %, 0 %, 1193 MiB, 49140 MiB, 60.85 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:21.764, 0, 16 %, 9 %, 1389 MiB, 49140 MiB, 78.03 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:22.764, 0, 2 %, 0 %, 2709 MiB, 49140 MiB, 82.15 W, 300.00 W, 55, 2505 MHz
2026/09/23 07:47:23.765, 0, 2 %, 2 %, 2709 MiB, 49140 MiB, 90.51 W, 300.00 W, 54, 2745 MHz
2026/09/23 07:47:24.765, 0, 0 %, 0 %, 2879 MiB, 49140 MiB, 83.75 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:25.766, 0, 0 %, 0 %, 3007 MiB, 49140 MiB, 79.45 W, 300.00 W, 54, 2745 MHz
2026/09/23 07:47:26.766, 0, 0 %, 0 %, 2585 MiB, 49140 MiB, 91.22 W, 300.00 W, 54, 2745 MHz
2026/09/23 07:47:27.767, 0, 0 %, 0 %, 2543 MiB, 49140 MiB, 81.47 W, 300.00 W, 53, 2745 MHz
2026/09/23 07:47:28.767, 0, 0 %, 0 %, 2613 MiB, 49140 MiB, 82.22 W, 300.00 W, 53, 2745 MHz
2026/09/23 07:47:29.768, 0, 0 %, 0 %, 2485 MiB, 49140 MiB, 84.75 W, 300.00 W, 53, 2745 MHz
2026/09/23 07:47:30.768, 0, 0 %, 0 %, 2549 MiB, 49140 MiB, 71.89 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:31.769, 0, 0 %, 0 %, 2443 MiB, 49140 MiB, 64.62 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:32.769, 0, 0 %, 0 %, 2443 MiB, 49140 MiB, 63.99 W, 300.00 W, 53, 2505 MHz
2026/09/23 07:47:33.770, 0, 0 %, 0 %, 2421 MiB, 49140 MiB, 64.60 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:34.770, 0, 7 %, 1 %, 2421 MiB, 49140 MiB, 62.49 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:35.771, 0, 3 %, 0 %, 2421 MiB, 49140 MiB, 60.57 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:36.771, 0, 15 %, 1 %, 2421 MiB, 49140 MiB, 62.84 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:37.772, 0, 0 %, 0 %, 2421 MiB, 49140 MiB, 61.73 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:38.772, 0, 0 %, 0 %, 2421 MiB, 49140 MiB, 60.50 W, 300.00 W, 52, 2505 MHz
2026/09/23 07:47:39.773, 0, 0 %, 0 %, 2401 MiB, 49140 MiB, 59.85 W, 300.00 W, 51, 2505 MHz
2026/09/23 07:47:40.773, 0, 0 %, 0 %, 2401 MiB, 49140 MiB, 60.06 W, 300.00 W, 51, 2505 MHz
2026/09/23 07:47:41.774, 0, 0 %, 0 %, 2381 MiB, 49140 MiB, 59.39 W, 300.00 W, 51, 2505 MHz
2026/09/23 07:47:42.774, 0, 14 %, 1 %, 2489 MiB, 49140 MiB, 64.80 W, 300.00 W, 51, 2505 MHz
2026/09/23 07:47:43.775, 0, 10 %, 10 %, 2193 MiB, 49140 MiB, 69.99 W, 300.00 W, 51, 2505 MHz
2026/09/23 07:47:44.775, 0, 28 %, 11 %, 3533 MiB, 49140 MiB, 135.81 W, 300.00 W, 56, 2580 MHz
2026/09/23 07:47:45.778, 0, 78 %, 69 %, 3533 MiB, 49140 MiB, 249.30 W, 300.00 W, 58, 2745 MHz
2026/09/23 07:47:46.779, 0, 42 %, 38 %, 3533 MiB, 49140 MiB, 226.26 W, 300.00 W, 58, 2730 MHz
2026/09/23 07:47:47.781, 0, 87 %, 78 %, 3533 MiB, 49140 MiB, 267.64 W, 300.00 W, 59, 2370 MHz
2026/09/23 07:47:48.781, 0, 94 %, 81 %, 3533 MiB, 49140 MiB, 273.36 W, 300.00 W, 61, 2475 MHz
2026/09/23 07:47:49.782, 0, 89 %, 78 %, 3533 MiB, 49140 MiB, 268.95 W, 300.00 W, 61, 2355 MHz
2026/09/23 07:47:50.784, 0, 91 %, 81 %, 3533 MiB, 49140 MiB, 270.50 W, 300.00 W, 60, 2475 MHz
2026/09/23 07:47:51.786, 0, 89 %, 77 %, 3533 MiB, 49140 MiB, 271.32 W, 300.00 W, 60, 2280 MHz
2026/09/23 07:47:52.786, 0, 95 %, 82 %, 3533 MiB, 49140 MiB, 278.19 W, 300.00 W, 62, 2505 MHz
2026/09/23 07:47:53.788, 0, 92 %, 80 %, 3533 MiB, 49140 MiB, 278.44 W, 300.00 W, 61, 2520 MHz
2026/09/23 07:47:54.790, 0, 92 %, 80 %, 3533 MiB, 49140 MiB, 275.50 W, 300.00 W, 64, 2430 MHz
2026/09/23 07:47:55.790, 0, 78 %, 68 %, 3533 MiB, 49140 MiB, 275.54 W, 300.00 W, 61, 2400 MHz
2026/09/23 07:47:56.791, 0, 75 %, 66 %, 3533 MiB, 49140 MiB, 184.92 W, 300.00 W, 57, 2745 MHz
2026/09/23 07:47:57.791, 0, 0 %, 0 %, 1603 MiB, 49140 MiB, 88.87 W, 300.00 W, 57, 2745 MHz
2026/09/23 07:47:58.792, 0, 66 %, 23 %, 1661 MiB, 49140 MiB, 127.26 W, 300.00 W, 61, 2460 MHz
2026/09/23 07:47:59.792, 0, 12 %, 4 %, 1661 MiB, 49140 MiB, 160.75 W, 300.00 W, 56, 2745 MHz
2026/09/23 07:48:00.792, 0, 0 %, 0 %, 3573 MiB, 49140 MiB, 92.11 W, 300.00 W, 60, 2430 MHz
2026/09/23 07:48:01.794, 0, 90 %, 77 %, 3573 MiB, 49140 MiB, 275.27 W, 300.00 W, 62, 2505 MHz
2026/09/23 07:48:02.794, 0, 89 %, 79 %, 3573 MiB, 49140 MiB, 275.80 W, 300.00 W, 62, 2490 MHz
2026/09/23 07:48:03.795, 0, 89 %, 76 %, 3573 MiB, 49140 MiB, 274.57 W, 300.00 W, 62, 2400 MHz
2026/09/23 07:48:04.796, 0, 88 %, 76 %, 3573 MiB, 49140 MiB, 275.44 W, 300.00 W, 63, 2370 MHz
2026/09/23 07:48:05.797, 0, 92 %, 81 %, 3573 MiB, 49140 MiB, 272.75 W, 300.00 W, 64, 2565 MHz
2026/09/23 07:48:06.798, 0, 86 %, 77 %, 3573 MiB, 49140 MiB, 274.50 W, 300.00 W, 64, 2505 MHz
2026/09/23 07:48:07.799, 0, 91 %, 82 %, 3573 MiB, 49140 MiB, 277.38 W, 300.00 W, 65, 2475 MHz
2026/09/23 07:48:08.800, 0, 89 %, 78 %, 3573 MiB, 49140 MiB, 275.41 W, 300.00 W, 66, 2475 MHz
2026/09/23 07:48:09.801, 0, 89 %, 80 %, 3573 MiB, 49140 MiB, 274.19 W, 300.00 W, 65, 2445 MHz
2026/09/23 07:48:10.802, 0, 89 %, 76 %, 3573 MiB, 49140 MiB, 275.27 W, 300.00 W, 65, 2475 MHz
2026/09/23 07:48:11.803, 0, 94 %, 81 %, 3573 MiB, 49140 MiB, 274.92 W, 300.00 W, 65, 2505 MHz
2026/09/23 07:48:12.804, 0, 68 %, 44 %, 3573 MiB, 49140 MiB, 254.52 W, 300.00 W, 61, 2745 MHz
2026/09/23 07:48:13.804, 0, 0 %, 0 %, 3573 MiB, 49140 MiB, 86.44 W, 300.00 W, 60, 2745 MHz
2026/09/23 07:48:14.805, 0, 0 %, 0 %, 3573 MiB, 49140 MiB, 168.06 W, 300.00 W, 66, 2445 MHz
2026/09/23 07:48:15.805, 0, 88 %, 78 %, 3573 MiB, 49140 MiB, 277.65 W, 300.00 W, 65, 2445 MHz
2026/09/23 07:48:16.807, 0, 92 %, 81 %, 3573 MiB, 49140 MiB, 280.73 W, 300.00 W, 65, 2400 MHz
2026/09/23 07:48:17.807, 0, 93 %, 83 %, 3573 MiB, 49140 MiB, 279.59 W, 300.00 W, 66, 2295 MHz
2026/09/23 07:48:18.808, 0, 95 %, 81 %, 3573 MiB, 49140 MiB, 279.32 W, 300.00 W, 66, 2445 MHz
2026/09/23 07:48:19.809, 0, 93 %, 84 %, 3573 MiB, 49140 MiB, 279.19 W, 300.00 W, 68, 2445 MHz
2026/09/23 07:48:20.810, 0, 86 %, 77 %, 3573 MiB, 49140 MiB, 275.95 W, 300.00 W, 66, 2505 MHz
2026/09/23 07:48:21.811, 0, 91 %, 80 %, 3573 MiB, 49140 MiB, 279.49 W, 300.00 W, 66, 2280 MHz
2026/09/23 07:48:22.812, 0, 93 %, 81 %, 3573 MiB, 49140 MiB, 276.62 W, 300.00 W, 68, 2310 MHz
2026/09/23 07:48:23.812, 0, 87 %, 74 %, 3573 MiB, 49140 MiB, 273.39 W, 300.00 W, 68, 2460 MHz
