timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 09:07:50.316, 0, 11 %, 1 %, 0 MiB, 49140 MiB, 79.38 W, 300.00 W, 57, 2505 MHz
2026/09/23 09:07:51.321, 0, 11 %, 1 %, 0 MiB, 49140 MiB, 73.32 W, 300.00 W, 56, 2505 MHz
2026/09/23 09:07:52.321, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.25 W, 300.00 W, 56, 2505 MHz
2026/09/23 09:07:53.322, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 53.43 W, 300.00 W, 55, 570 MHz
2026/09/23 09:07:54.322, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 36.58 W, 300.00 W, 54, 270 MHz
2026/09/23 09:07:55.323, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 55.22 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:07:56.323, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.44 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:07:57.324, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.21 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:07:58.327, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.10 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:07:59.327, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 60.67 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:08:00.328, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 60.88 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:08:01.328, 0, 0 %, 0 %, 1583 MiB, 49140 MiB, 60.67 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:08:02.329, 0, 13 %, 4 %, 6999 MiB, 49140 MiB, 87.74 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:08:03.329, 0, 75 %, 35 %, 3673 MiB, 49140 MiB, 105.66 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:04.330, 0, 0 %, 0 %, 3927 MiB, 49140 MiB, 80.86 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:05.330, 0, 0 %, 0 %, 4119 MiB, 49140 MiB, 79.02 W, 300.00 W, 53, 2505 MHz
2026/09/23 09:08:06.330, 0, 69 %, 6 %, 3679 MiB, 49140 MiB, 88.83 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:07.331, 0, 42 %, 26 %, 3487 MiB, 49140 MiB, 98.28 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:08.332, 0, 60 %, 20 %, 3427 MiB, 49140 MiB, 83.74 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:09.332, 0, 20 %, 14 %, 3525 MiB, 49140 MiB, 82.13 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:10.333, 0, 0 %, 0 %, 3335 MiB, 49140 MiB, 88.67 W, 300.00 W, 54, 2745 MHz
2026/09/23 09:08:11.333, 0, 0 %, 0 %, 3335 MiB, 49140 MiB, 71.29 W, 300.00 W, 53, 2505 MHz
2026/09/23 09:08:12.334, 0, 0 %, 0 %, 3431 MiB, 49140 MiB, 67.61 W, 300.00 W, 53, 2505 MHz
2026/09/23 09:08:13.334, 0, 0 %, 0 %, 3271 MiB, 49140 MiB, 67.67 W, 300.00 W, 53, 2505 MHz
2026/09/23 09:08:14.335, 0, 22 %, 2 %, 3221 MiB, 49140 MiB, 63.12 W, 300.00 W, 53, 2505 MHz
2026/09/23 09:08:15.335, 0, 34 %, 5 %, 3245 MiB, 49140 MiB, 66.01 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:16.336, 0, 10 %, 2 %, 3163 MiB, 49140 MiB, 65.33 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:17.336, 0, 0 %, 0 %, 3163 MiB, 49140 MiB, 61.87 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:18.337, 0, 0 %, 0 %, 3197 MiB, 49140 MiB, 65.03 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:19.337, 0, 0 %, 0 %, 3147 MiB, 49140 MiB, 63.61 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:20.338, 0, 0 %, 0 %, 3147 MiB, 49140 MiB, 60.52 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:21.338, 0, 0 %, 0 %, 3131 MiB, 49140 MiB, 61.39 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:22.339, 0, 0 %, 0 %, 3131 MiB, 49140 MiB, 61.13 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:23.339, 0, 2 %, 0 %, 3131 MiB, 49140 MiB, 60.58 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:24.340, 0, 0 %, 0 %, 3111 MiB, 49140 MiB, 60.28 W, 300.00 W, 51, 2505 MHz
2026/09/23 09:08:25.340, 0, 1 %, 0 %, 3207 MiB, 49140 MiB, 63.02 W, 300.00 W, 51, 2505 MHz
2026/09/23 09:08:26.341, 0, 7 %, 1 %, 3875 MiB, 49140 MiB, 74.69 W, 300.00 W, 52, 2505 MHz
2026/09/23 09:08:27.343, 0, 0 %, 0 %, 4793 MiB, 49140 MiB, 64.68 W, 300.00 W, 51, 2505 MHz
2026/09/23 09:08:28.344, 0, 96 %, 85 %, 4793 MiB, 49140 MiB, 216.20 W, 300.00 W, 59, 2565 MHz
2026/09/23 09:08:29.346, 0, 60 %, 55 %, 4793 MiB, 49140 MiB, 242.10 W, 300.00 W, 58, 2505 MHz
2026/09/23 09:08:30.347, 0, 78 %, 68 %, 4793 MiB, 49140 MiB, 261.14 W, 300.00 W, 59, 2205 MHz
2026/09/23 09:08:31.348, 0, 95 %, 87 %, 4793 MiB, 49140 MiB, 278.76 W, 300.00 W, 60, 2265 MHz
2026/09/23 09:08:32.348, 0, 95 %, 87 %, 4793 MiB, 49140 MiB, 279.06 W, 300.00 W, 61, 2370 MHz
2026/09/23 09:08:33.350, 0, 98 %, 86 %, 4793 MiB, 49140 MiB, 281.08 W, 300.00 W, 62, 1965 MHz
2026/09/23 09:08:34.351, 0, 96 %, 87 %, 4793 MiB, 49140 MiB, 281.79 W, 300.00 W, 61, 2235 MHz
2026/09/23 09:08:35.352, 0, 94 %, 83 %, 4793 MiB, 49140 MiB, 282.88 W, 300.00 W, 61, 2310 MHz
2026/09/23 09:08:36.352, 0, 93 %, 85 %, 4793 MiB, 49140 MiB, 280.10 W, 300.00 W, 62, 2370 MHz
2026/09/23 09:08:37.353, 0, 95 %, 88 %, 4793 MiB, 49140 MiB, 281.40 W, 300.00 W, 63, 2010 MHz
2026/09/23 09:08:38.354, 0, 95 %, 86 %, 4793 MiB, 49140 MiB, 281.85 W, 300.00 W, 63, 2085 MHz
2026/09/23 09:08:39.356, 0, 97 %, 86 %, 4793 MiB, 49140 MiB, 281.79 W, 300.00 W, 63, 2190 MHz
2026/09/23 09:08:40.360, 0, 97 %, 86 %, 4793 MiB, 49140 MiB, 283.77 W, 300.00 W, 65, 2265 MHz
2026/09/23 09:08:41.361, 0, 97 %, 86 %, 4793 MiB, 49140 MiB, 279.72 W, 300.00 W, 64, 2250 MHz
2026/09/23 09:08:42.362, 0, 97 %, 85 %, 4793 MiB, 49140 MiB, 283.49 W, 300.00 W, 65, 2205 MHz
2026/09/23 09:08:43.363, 0, 98 %, 86 %, 4793 MiB, 49140 MiB, 284.49 W, 300.00 W, 65, 2235 MHz
2026/09/23 09:08:44.364, 0, 0 %, 0 %, 1587 MiB, 49140 MiB, 112.25 W, 300.00 W, 58, 2745 MHz
2026/09/23 09:08:45.364, 0, 29 %, 7 %, 1539 MiB, 49140 MiB, 95.27 W, 300.00 W, 58, 2505 MHz
2026/09/23 09:08:46.365, 0, 0 %, 0 %, 1937 MiB, 49140 MiB, 185.91 W, 300.00 W, 64, 2100 MHz
2026/09/23 09:08:47.365, 0, 4 %, 0 %, 1937 MiB, 49140 MiB, 139.35 W, 300.00 W, 58, 2745 MHz
2026/09/23 09:08:48.366, 0, 0 %, 0 %, 4873 MiB, 49140 MiB, 117.33 W, 300.00 W, 63, 2325 MHz
2026/09/23 09:08:49.366, 0, 94 %, 84 %, 4873 MiB, 49140 MiB, 286.03 W, 300.00 W, 63, 1980 MHz
2026/09/23 09:08:50.367, 0, 96 %, 88 %, 4873 MiB, 49140 MiB, 285.79 W, 300.00 W, 64, 2190 MHz
2026/09/23 09:08:51.369, 0, 96 %, 86 %, 4873 MiB, 49140 MiB, 285.19 W, 300.00 W, 65, 2175 MHz
2026/09/23 09:08:52.370, 0, 97 %, 86 %, 4873 MiB, 49140 MiB, 284.72 W, 300.00 W, 65, 2250 MHz
2026/09/23 09:08:53.371, 0, 97 %, 86 %, 4873 MiB, 49140 MiB, 281.58 W, 300.00 W, 66, 2175 MHz
2026/09/23 09:08:54.372, 0, 97 %, 87 %, 4873 MiB, 49140 MiB, 283.08 W, 300.00 W, 66, 2220 MHz
2026/09/23 09:08:55.374, 0, 97 %, 87 %, 4873 MiB, 49140 MiB, 283.43 W, 300.00 W, 67, 2220 MHz
2026/09/23 09:08:56.376, 0, 95 %, 85 %, 4873 MiB, 49140 MiB, 285.59 W, 300.00 W, 66, 2130 MHz
2026/09/23 09:08:57.376, 0, 98 %, 86 %, 4873 MiB, 49140 MiB, 285.62 W, 300.00 W, 66, 2175 MHz
2026/09/23 09:08:58.377, 0, 97 %, 86 %, 4873 MiB, 49140 MiB, 282.12 W, 300.00 W, 67, 2130 MHz
2026/09/23 09:08:59.377, 0, 98 %, 85 %, 4873 MiB, 49140 MiB, 284.59 W, 300.00 W, 67, 2205 MHz
2026/09/23 09:09:00.378, 0, 97 %, 86 %, 4873 MiB, 49140 MiB, 286.18 W, 300.00 W, 67, 2160 MHz
2026/09/23 09:09:01.379, 0, 94 %, 82 %, 4873 MiB, 49140 MiB, 285.83 W, 300.00 W, 68, 2175 MHz
2026/09/23 09:09:02.380, 0, 98 %, 85 %, 4873 MiB, 49140 MiB, 285.85 W, 300.00 W, 67, 2175 MHz
2026/09/23 09:09:03.381, 0, 93 %, 82 %, 4873 MiB, 49140 MiB, 285.25 W, 300.00 W, 68, 2175 MHz
2026/09/23 09:09:04.382, 0, 74 %, 53 %, 4873 MiB, 49140 MiB, 275.11 W, 300.00 W, 69, 2235 MHz
2026/09/23 09:09:05.383, 0, 0 %, 0 %, 4873 MiB, 49140 MiB, 130.26 W, 300.00 W, 62, 2745 MHz
2026/09/23 09:09:06.384, 0, 0 %, 0 %, 4873 MiB, 49140 MiB, 117.12 W, 300.00 W, 66, 2265 MHz
2026/09/23 09:09:07.385, 0, 95 %, 83 %, 4873 MiB, 49140 MiB, 284.81 W, 300.00 W, 68, 2085 MHz
