timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 18:18:52.171, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 71.76 W, 300.00 W, 56, 2505 MHz
2026/09/23 18:18:53.175, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.26 W, 300.00 W, 56, 2505 MHz
2026/09/23 18:18:54.176, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 51.11 W, 300.00 W, 55, 510 MHz
2026/09/23 18:18:55.176, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 44.14 W, 300.00 W, 55, 330 MHz
2026/09/23 18:18:56.192, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 31.45 W, 300.00 W, 54, 210 MHz
2026/09/23 18:18:57.192, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 56.91 W, 300.00 W, 55, 2505 MHz
2026/09/23 18:18:58.193, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 63.34 W, 300.00 W, 55, 2505 MHz
2026/09/23 18:18:59.193, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.34 W, 300.00 W, 55, 2505 MHz
2026/09/23 18:19:00.199, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.20 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:01.199, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 62.48 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:02.200, 0, 0 %, 0 %, 647 MiB, 49140 MiB, 62.70 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:03.200, 0, 0 %, 0 %, 1727 MiB, 49140 MiB, 62.45 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:04.201, 0, 72 %, 61 %, 2609 MiB, 49140 MiB, 111.48 W, 300.00 W, 56, 2760 MHz
2026/09/23 18:19:05.201, 0, 43 %, 9 %, 5587 MiB, 49140 MiB, 141.66 W, 300.00 W, 59, 2745 MHz
2026/09/23 18:19:06.202, 0, 37 %, 19 %, 5587 MiB, 49140 MiB, 92.97 W, 300.00 W, 55, 2760 MHz
2026/09/23 18:19:07.202, 0, 0 %, 1 %, 6009 MiB, 49140 MiB, 94.71 W, 300.00 W, 55, 2760 MHz
2026/09/23 18:19:08.203, 0, 0 %, 0 %, 6325 MiB, 49140 MiB, 104.87 W, 300.00 W, 55, 2760 MHz
2026/09/23 18:19:09.203, 0, 0 %, 0 %, 5273 MiB, 49140 MiB, 108.82 W, 300.00 W, 56, 2760 MHz
2026/09/23 18:19:10.204, 0, 0 %, 0 %, 5171 MiB, 49140 MiB, 89.27 W, 300.00 W, 55, 2760 MHz
2026/09/23 18:19:11.204, 0, 0 %, 0 %, 5487 MiB, 49140 MiB, 88.38 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:12.205, 0, 0 %, 0 %, 4961 MiB, 49140 MiB, 89.25 W, 300.00 W, 54, 2760 MHz
2026/09/23 18:19:13.205, 0, 0 %, 0 %, 4801 MiB, 49140 MiB, 95.75 W, 300.00 W, 54, 2760 MHz
2026/09/23 18:19:14.205, 0, 0 %, 0 %, 4881 MiB, 49140 MiB, 82.95 W, 300.00 W, 54, 2505 MHz
2026/09/23 18:19:15.206, 0, 0 %, 0 %, 4699 MiB, 49140 MiB, 73.16 W, 300.00 W, 53, 2505 MHz
2026/09/23 18:19:16.206, 0, 0 %, 0 %, 4671 MiB, 49140 MiB, 72.37 W, 300.00 W, 53, 2505 MHz
2026/09/23 18:19:17.207, 0, 0 %, 0 %, 4713 MiB, 49140 MiB, 64.09 W, 300.00 W, 53, 2505 MHz
2026/09/23 18:19:18.207, 0, 0 %, 0 %, 4577 MiB, 49140 MiB, 69.86 W, 300.00 W, 53, 2505 MHz
2026/09/23 18:19:19.208, 0, 0 %, 0 %, 4637 MiB, 49140 MiB, 71.82 W, 300.00 W, 53, 2505 MHz
