timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 10:39:39.641, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 73.29 W, 300.00 W, 56, 2505 MHz
2026/09/23 10:39:40.646, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.80 W, 300.00 W, 56, 2505 MHz
2026/09/23 10:39:41.646, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 44.22 W, 300.00 W, 55, 510 MHz
2026/09/23 10:39:42.646, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 39.92 W, 300.00 W, 54, 315 MHz
2026/09/23 10:39:43.648, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 31.08 W, 300.00 W, 54, 210 MHz
2026/09/23 10:39:44.649, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 53.97 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:45.649, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.23 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:46.649, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.93 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:47.651, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.84 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:48.655, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.74 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:49.656, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.76 W, 300.00 W, 54, 2505 MHz
2026/09/23 10:39:50.656, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.74 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:51.656, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.73 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:52.657, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.21 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:53.657, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.17 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:54.658, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.01 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:55.658, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 60.14 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:56.659, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 59.48 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:39:57.659, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 59.36 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:39:58.659, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 59.21 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:39:59.660, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 59.10 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:00.660, 0, 0 %, 0 %, 653 MiB, 49140 MiB, 59.00 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:01.661, 0, 0 %, 0 %, 655 MiB, 49140 MiB, 58.96 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:02.661, 0, 0 %, 0 %, 1979 MiB, 49140 MiB, 73.29 W, 300.00 W, 54, 2760 MHz
2026/09/23 10:40:03.662, 0, 74 %, 81 %, 2253 MiB, 49140 MiB, 204.99 W, 300.00 W, 56, 2760 MHz
2026/09/23 10:40:04.662, 0, 27 %, 22 %, 2437 MiB, 49140 MiB, 175.05 W, 300.00 W, 56, 2760 MHz
2026/09/23 10:40:05.663, 0, 57 %, 61 %, 3039 MiB, 49140 MiB, 163.76 W, 300.00 W, 56, 2760 MHz
2026/09/23 10:40:06.663, 0, 0 %, 0 %, 5111 MiB, 49140 MiB, 170.40 W, 300.00 W, 56, 2745 MHz
2026/09/23 10:40:07.664, 0, 0 %, 1 %, 5111 MiB, 49140 MiB, 142.39 W, 300.00 W, 54, 2745 MHz
2026/09/23 10:40:08.665, 0, 90 %, 100 %, 5111 MiB, 49140 MiB, 97.30 W, 300.00 W, 54, 2745 MHz
2026/09/23 10:40:09.665, 0, 0 %, 0 %, 5111 MiB, 49140 MiB, 77.36 W, 300.00 W, 54, 2745 MHz
2026/09/23 10:40:10.666, 0, 93 %, 100 %, 5113 MiB, 49140 MiB, 95.43 W, 300.00 W, 54, 2745 MHz
2026/09/23 10:40:11.666, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 98.33 W, 300.00 W, 53, 2745 MHz
2026/09/23 10:40:12.667, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 98.29 W, 300.00 W, 53, 2745 MHz
2026/09/23 10:40:13.667, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 64.26 W, 300.00 W, 53, 2505 MHz
2026/09/23 10:40:14.668, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 61.23 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:15.668, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 59.42 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:16.668, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 59.36 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:17.669, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 59.34 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:18.669, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 59.23 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:19.671, 0, 0 %, 0 %, 5113 MiB, 49140 MiB, 59.08 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:20.671, 0, 0 %, 0 %, 5115 MiB, 49140 MiB, 59.03 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:21.672, 0, 0 %, 0 %, 5117 MiB, 49140 MiB, 60.27 W, 300.00 W, 52, 2505 MHz
2026/09/23 10:40:22.672, 0, 0 %, 0 %, 5505 MiB, 49140 MiB, 62.71 W, 300.00 W, 51, 2505 MHz
2026/09/23 10:40:23.673, 0, 3 %, 0 %, 10695 MiB, 49140 MiB, 112.65 W, 300.00 W, 52, 2760 MHz
2026/09/23 10:40:24.674, 0, 98 %, 77 %, 5797 MiB, 49140 MiB, 101.41 W, 300.00 W, 52, 2760 MHz
2026/09/23 10:40:25.674, 0, 19 %, 19 %, 4835 MiB, 49140 MiB, 106.24 W, 300.00 W, 52, 2760 MHz
2026/09/23 10:40:26.675, 0, 0 %, 0 %, 4739 MiB, 49140 MiB, 84.81 W, 300.00 W, 52, 2760 MHz
2026/09/23 10:40:27.675, 0, 0 %, 0 %, 5033 MiB, 49140 MiB, 84.86 W, 300.00 W, 52, 2760 MHz
2026/09/23 10:40:28.676, 0, 0 %, 0 %, 4743 MiB, 49140 MiB, 93.06 W, 300.00 W, 52, 2760 MHz
