timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 05:03:14.192, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 79.16 W, 300.00 W, 57, 2745 MHz
2026/09/23 05:03:15.196, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 73.16 W, 300.00 W, 56, 2505 MHz
2026/09/23 05:03:16.197, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.38 W, 300.00 W, 56, 2505 MHz
2026/09/23 05:03:17.197, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 59.13 W, 300.00 W, 55, 615 MHz
2026/09/23 05:03:18.198, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 35.85 W, 300.00 W, 54, 300 MHz
2026/09/23 05:03:19.199, 0, 2 %, 0 %, 633 MiB, 49140 MiB, 51.76 W, 300.00 W, 55, 2505 MHz
2026/09/23 05:03:20.199, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 62.07 W, 300.00 W, 55, 2505 MHz
2026/09/23 05:03:21.200, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.61 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:22.203, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.44 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:23.203, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.48 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:24.204, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.69 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:25.204, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.58 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:26.205, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.01 W, 300.00 W, 54, 2505 MHz
2026/09/23 05:03:27.205, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.89 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:03:28.205, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.01 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:03:29.206, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.39 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:03:30.206, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.52 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:03:31.207, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.48 W, 300.00 W, 53, 2505 MHz
2026/09/23 05:03:32.207, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 59.40 W, 300.00 W, 53, 2505 MHz
