timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 03:02:36.023, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 71.64 W, 300.00 W, 56, 2505 MHz
2026/09/23 03:02:37.028, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 66.99 W, 300.00 W, 55, 2505 MHz
2026/09/23 03:02:38.029, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 51.08 W, 300.00 W, 54, 555 MHz
2026/09/23 03:02:39.029, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 30.43 W, 300.00 W, 54, 330 MHz
2026/09/23 03:02:40.032, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 17.91 W, 300.00 W, 53, 210 MHz
2026/09/23 03:02:41.033, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 48.92 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:02:42.033, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.76 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:02:43.034, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.64 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:02:44.038, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.73 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:02:45.038, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.95 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:02:46.038, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 60.88 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:02:47.039, 0, 1 %, 0 %, 1343 MiB, 49140 MiB, 61.12 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:02:48.039, 0, 7 %, 0 %, 2639 MiB, 49140 MiB, 80.60 W, 300.00 W, 54, 2505 MHz
2026/09/23 03:02:49.040, 0, 0 %, 0 %, 2713 MiB, 49140 MiB, 87.46 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:02:50.040, 0, 0 %, 0 %, 2883 MiB, 49140 MiB, 67.95 W, 300.00 W, 53, 2505 MHz
2026/09/23 03:02:51.041, 0, 0 %, 0 %, 3011 MiB, 49140 MiB, 74.14 W, 300.00 W, 53, 2505 MHz
