timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 09:53:48.996, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 68.29 W, 300.00 W, 56, 2505 MHz
2026/09/23 09:53:50.001, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.06 W, 300.00 W, 56, 2505 MHz
2026/09/23 09:53:51.002, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 60.64 W, 300.00 W, 55, 645 MHz
2026/09/23 09:53:52.002, 0, 0 %, 0 %, 1 MiB, 49140 MiB, 50.03 W, 300.00 W, 54, 405 MHz
2026/09/23 09:53:53.027, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 33.02 W, 300.00 W, 54, 210 MHz
2026/09/23 09:53:54.028, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 55.74 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:53:55.028, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.11 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:53:56.029, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.70 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:53:57.030, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.59 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:53:58.030, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.39 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:53:59.031, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 61.12 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:54:00.034, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 61.26 W, 300.00 W, 54, 2505 MHz
2026/09/23 09:54:01.035, 0, 0 %, 0 %, 1665 MiB, 49140 MiB, 61.05 W, 300.00 W, 54, 2505 MHz
