timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 06:38:51.995, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 78.11 W, 300.00 W, 56, 2505 MHz
2026/09/23 06:38:52.999, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 72.25 W, 300.00 W, 55, 2505 MHz
2026/09/23 06:38:54.000, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 67.14 W, 300.00 W, 55, 2505 MHz
2026/09/23 06:38:55.000, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 52.35 W, 300.00 W, 54, 555 MHz
2026/09/23 06:38:56.001, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 33.53 W, 300.00 W, 54, 240 MHz
2026/09/23 06:38:57.001, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 55.19 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:38:58.002, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 60.56 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:38:59.002, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.66 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:39:00.007, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.64 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:39:01.007, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.58 W, 300.00 W, 54, 2505 MHz
2026/09/23 06:39:02.008, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 61.69 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:03.008, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 61.58 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:04.009, 0, 0 %, 0 %, 1369 MiB, 49140 MiB, 70.66 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:39:05.009, 0, 0 %, 0 %, 2709 MiB, 49140 MiB, 108.56 W, 300.00 W, 55, 2730 MHz
2026/09/23 06:39:06.010, 0, 12 %, 6 %, 2709 MiB, 49140 MiB, 92.11 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:39:07.010, 0, 0 %, 0 %, 2879 MiB, 49140 MiB, 84.17 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:08.011, 0, 0 %, 0 %, 3007 MiB, 49140 MiB, 79.49 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:39:09.011, 0, 0 %, 0 %, 2585 MiB, 49140 MiB, 91.38 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:39:10.011, 0, 0 %, 0 %, 2543 MiB, 49140 MiB, 81.92 W, 300.00 W, 54, 2745 MHz
2026/09/23 06:39:11.012, 0, 0 %, 0 %, 2613 MiB, 49140 MiB, 78.24 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:12.012, 0, 0 %, 0 %, 2485 MiB, 49140 MiB, 67.82 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:13.013, 0, 30 %, 4 %, 2549 MiB, 49140 MiB, 63.17 W, 300.00 W, 53, 2505 MHz
2026/09/23 06:39:14.013, 0, 33 %, 3 %, 2443 MiB, 49140 MiB, 65.95 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:15.014, 0, 9 %, 1 %, 2453 MiB, 49140 MiB, 65.24 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:16.014, 0, 0 %, 0 %, 2443 MiB, 49140 MiB, 65.54 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:17.015, 0, 0 %, 0 %, 2387 MiB, 49140 MiB, 63.71 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:18.015, 0, 0 %, 0 %, 2387 MiB, 49140 MiB, 61.57 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:19.016, 0, 0 %, 0 %, 2433 MiB, 49140 MiB, 63.91 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:20.016, 0, 0 %, 0 %, 2387 MiB, 49140 MiB, 62.98 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:21.017, 0, 0 %, 0 %, 2387 MiB, 49140 MiB, 61.12 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:22.017, 0, 0 %, 0 %, 2367 MiB, 49140 MiB, 62.05 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:23.018, 0, 0 %, 0 %, 2367 MiB, 49140 MiB, 60.88 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:39:24.018, 0, 0 %, 0 %, 2367 MiB, 49140 MiB, 60.68 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:39:25.019, 0, 2 %, 0 %, 2475 MiB, 49140 MiB, 62.24 W, 300.00 W, 52, 2505 MHz
2026/09/23 06:39:26.019, 0, 24 %, 17 %, 2817 MiB, 49140 MiB, 72.44 W, 300.00 W, 51, 2505 MHz
2026/09/23 06:39:27.020, 0, 0 %, 0 %, 3563 MiB, 49140 MiB, 84.69 W, 300.00 W, 56, 2415 MHz
2026/09/23 06:39:28.021, 0, 73 %, 65 %, 3563 MiB, 49140 MiB, 260.49 W, 300.00 W, 59, 2325 MHz
2026/09/23 06:39:29.023, 0, 82 %, 73 %, 3563 MiB, 49140 MiB, 267.99 W, 300.00 W, 58, 2535 MHz
2026/09/23 06:39:30.024, 0, 92 %, 81 %, 3563 MiB, 49140 MiB, 270.71 W, 300.00 W, 59, 2535 MHz
2026/09/23 06:39:31.024, 0, 92 %, 81 %, 3563 MiB, 49140 MiB, 270.22 W, 300.00 W, 60, 2535 MHz
2026/09/23 06:39:32.026, 0, 90 %, 78 %, 3563 MiB, 49140 MiB, 270.77 W, 300.00 W, 61, 2490 MHz
2026/09/23 06:39:33.027, 0, 86 %, 77 %, 3563 MiB, 49140 MiB, 272.30 W, 300.00 W, 61, 2310 MHz
2026/09/23 06:39:34.027, 0, 89 %, 77 %, 3563 MiB, 49140 MiB, 275.70 W, 300.00 W, 61, 2535 MHz
